,Symbol,Count Week,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Week 1,Week Full
56,TEG,1.0,15.0,15.9,15.0,16.1,15.41,0.54,"522,740.00","345,303.51",6.0,6.0
57,EVF,1.0,16.8,17.8,16.7,18.05,17.44,0.64,"1,361,900.00","1,063,897.02",5.95,5.95
58,HT1,1.0,22.9,24.25,21.9,24.25,22.8,0.9,"2,787,260.00","3,063,186.91",5.9,5.9
59,KHP,1.0,17.0,18.0,16.7,18.15,17.37,0.66,"999,360.00","771,186.51",5.88,5.88
60,BKG,1.0,11.25,11.9,11.0,11.9,11.3,0.35,"1,143,680.00","1,132,769.59",5.78,5.78
61,ANV,1.0,39.25,41.5,37.65,41.5,39.68,1.69,"1,303,940.00","478,282.62",5.73,5.73
62,SD3,1.0,8.8,9.3,8.6,9.3,8.92,0.36,"207,520.80","106,911.34",5.68,5.68
63,LDP,1.0,44.5,47.0,44.5,48.1,46.52,1.35,"171,836.20","53,008.09",5.62,5.62
64,PTB,1.0,107.0,112.9,105.0,112.9,107.2,3.27,"358,400.00","373,770.70",5.51,5.51
65,BCC,1.0,22.8,24.0,21.4,24.0,22.56,1.01,"1,650,336.40","1,249,360.26",5.26,5.26
66,VND,1.0,30.91,32.5,29.85,32.5,31.11,1.06,"12,065,260.00","11,992,020.38",5.16,5.16
67,SVD,1.0,12.6,13.2,12.4,14.15,13.12,0.68,"617,980.00","259,579.70",4.76,4.76
68,TV2,1.0,61.0,63.9,61.0,64.7,63.46,1.44,"432,500.00","225,049.02",4.75,4.75
69,QTP,1.0,19.0,19.9,18.9,19.9,19.3,0.41,"2,230,411.00","1,795,999.48",4.74,4.74
70,FMC,1.0,59.7,62.5,58.0,62.5,60.24,1.94,"275,220.00","50,318.75",4.69,4.69
71,OGC,1.0,12.9,13.5,12.9,13.8,13.39,0.35,"4,884,640.00","1,896,077.10",4.65,4.65
72,BCG,1.0,24.9,26.05,24.85,26.55,25.44,0.8,"10,705,760.00","5,547,563.77",4.62,4.62
73,VSC,1.0,45.6,47.7,44.6,47.7,46.58,1.41,"1,856,280.00","853,766.38",4.61,4.61
74,TTA,1.0,15.4,16.1,15.35,16.1,15.53,0.32,"1,081,520.00","497,291.02",4.55,4.55
75,MSR,1.0,30.9,32.3,30.7,33.5,32.18,1.35,"2,200,031.40","717,875.43",4.53,4.53
76,SDT,1.0,8.9,9.3,8.6,9.6,9.06,0.39,"352,250.80","298,497.00",4.49,4.49
77,PPH,1.0,34.7,36.2,34.2,36.8,35.26,1.17,"116,715.20","121,823.96",4.32,4.32
78,DRI,1.0,18.9,19.7,18.9,21.5,19.98,0.97,"2,844,622.40","1,145,497.19",4.23,4.23
79,ICT,1.0,20.2,21.05,20.2,21.4,20.95,0.45,"250,600.00","191,388.66",4.21,4.21
80,VHG,1.0,9.9,10.3,9.9,10.6,10.12,0.32,"9,229,006.20","3,753,388.97",4.04,4.04
81,ITD,1.0,16.55,17.2,16.1,17.2,16.67,0.41,"606,360.00","229,656.08",3.93,3.93
82,TVC,1.0,22.9,23.8,22.1,23.9,23.04,0.79,"5,368,816.60","2,970,691.72",3.93,3.93
83,GEG,1.0,26.95,28.0,26.95,28.4,27.87,0.54,"2,648,740.00","1,626,675.51",3.9,3.9
84,TNH,1.0,47.95,49.8,47.95,52.9,50.81,2.01,"856,440.00","640,763.38",3.86,3.86
85,FID,1.0,7.8,8.1,7.5,8.1,7.74,0.25,"1,106,082.60","582,265.31",3.85,3.85
86,VKC,1.0,13.1,13.6,13.1,14.6,13.56,0.61,"1,341,396.20","606,605.39",3.82,3.82
87,DXS,1.0,38.5,39.95,37.15,39.95,38.67,1.26,"1,404,360.00","210,951.79",3.77,3.77
88,EIN,1.0,13.6,14.1,13.6,14.6,14.14,0.36,"106,697.40","33,116.05",3.68,3.68
89,HPP,1.0,77.0,79.8,77.0,80.9,79.54,1.48,"103,095.80","75,355.17",3.64,3.64
90,HVN,1.0,24.9,25.8,24.9,26.2,25.42,0.56,"3,391,720.00","1,206,866.81",3.61,3.61
91,VNG,1.0,16.9,17.5,16.9,17.7,17.27,0.32,"282,640.00","75,351.60",3.55,3.55
92,LCM,1.0,7.1,7.35,7.1,8.0,7.57,0.36,"655,300.00","321,627.67",3.52,3.52
93,CVN,1.0,11.4,11.8,11.1,11.8,11.38,0.29,"1,098,927.20","289,083.67",3.51,3.51
94,OCH,1.0,14.4,14.9,14.4,15.8,15.02,0.52,"1,248,381.40","508,233.20",3.47,3.47
95,SSN,1.0,11.6,12.0,11.6,12.0,11.78,0.2,"214,600.00","154,686.89",3.45,3.45
96,TNI,1.0,8.71,9.01,8.71,9.24,8.95,0.19,"2,849,740.00","1,308,863.62",3.44,3.44
97,VCS,1.0,105.8,109.4,104.8,109.4,106.1,1.91,"114,625.20","85,456.33",3.4,3.4
98,VTP,1.0,64.8,67.0,64.8,67.0,65.8,1.12,"171,995.60","59,535.20",3.4,3.4
99,SD6,1.0,9.0,9.3,8.7,9.7,9.18,0.37,"634,319.20","325,060.64",3.33,3.33
100,VTO,1.0,15.05,15.55,14.05,15.55,14.98,0.56,"2,012,640.00","538,851.17",3.32,3.32
101,VJC,1.0,134.2,138.5,134.2,140.0,137.74,2.26,"884,700.00","97,068.20",3.2,3.2
102,PSH,1.0,28.35,29.25,27.15,29.3,28.62,0.91,"2,383,680.00","684,136.11",3.17,3.17
103,VFS,1.0,16.2,16.7,16.2,16.8,16.48,0.28,"182,192.20","66,581.66",3.09,3.09
104,PRT,1.0,22.7,23.4,22.5,23.4,22.84,0.36,"133,266.00","39,868.34",3.08,3.08
105,ASM,1.0,17.95,18.5,17.2,18.5,17.86,0.52,"6,803,100.00","4,069,270.44",3.06,3.06
106,LUT,1.0,9.9,10.2,9.9,10.9,10.54,0.46,"892,117.40","1,345,329.70",3.03,3.03
107,CSI,1.0,63.9,65.8,63.9,68.4,65.24,1.93,"106,180.40","11,687.34",2.97,2.97
108,DPM,1.0,64.5,66.4,62.0,66.4,64.42,1.65,"8,613,320.00","1,990,798.69",2.95,2.95
