,Symbol,Count Month,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Month 1,Month 2,Month 3,Month Full
205,VLB,3.2,40.9,34.4,29.8,42.7,36.09,3.15,"134,893.34","104,673.73",8.86,-3.32,-5.61,-5.26
206,STB,3.2,32.7,27.5,27.0,33.3,30.21,1.72,"18,477,976.56","7,754,960.89",-5.17,-4.57,-5.61,-5.27
207,AAS,3.2,10.12,8.5,6.63,11.43,8.76,1.18,"2,186,452.72","1,300,488.02",13.3,0.23,-5.65,-5.3
208,TNH,3.2,24.7,20.75,19.9,25.1,22.14,1.61,"129,520.31","62,057.71",0.73,-3.32,-5.64,-5.3
209,HT1,3.2,14.6,12.25,10.73,15.27,12.79,1.21,"484,353.12","357,208.10",7.39,-2.93,-5.68,-5.33
210,ITQ,3.2,3.1,2.6,2.4,3.2,2.78,0.23,"144,773.59","132,600.57",0.0,-3.64,-5.69,-5.35
211,HVN,3.2,13.5,11.25,10.2,13.5,11.59,0.85,"501,035.94","420,288.68",5.14,-0.66,-5.9,-5.54
212,HTN,3.2,19.5,16.25,14.3,21.65,16.86,1.84,"1,032,089.06","551,246.94",5.18,3.4,-5.9,-5.54
213,ASM,3.2,10.85,9.03,8.0,11.6,9.71,0.89,"2,681,835.94","1,929,191.92",3.79,-5.91,-5.94,-5.58
214,TNI,3.2,3.3,2.74,2.5,3.3,2.84,0.21,"163,568.75","101,456.66",4.58,-2.46,-6.01,-5.65
215,SAM,3.2,7.75,6.42,6.0,7.75,6.56,0.47,"534,826.56","347,680.48",0.63,0.95,-6.08,-5.71
216,HQC,3.2,4.43,3.67,2.93,4.6,3.72,0.39,"6,801,815.62","3,774,538.34",13.27,0.83,-6.08,-5.71
217,AAA,3.2,10.95,9.07,8.0,11.1,9.34,0.76,"3,397,081.25","2,193,670.97",5.47,-0.16,-6.09,-5.72
218,PSH,3.2,12.05,9.98,8.55,13.7,10.92,1.32,"1,403,735.94","965,970.01",9.19,-6.02,-6.09,-5.72
219,FID,3.2,2.9,2.4,2.1,3.0,2.5,0.23,"222,266.94","161,388.37",4.35,2.15,-6.11,-5.74
220,BCM,3.2,70.34,58.2,57.22,71.62,63.64,4.66,"259,959.38","95,495.39",0.33,-7.53,-6.12,-5.75
221,NVL,3.2,21.4,17.7,12.9,22.0,16.13,2.42,"30,608,553.12","17,185,961.43",26.43,10.11,-6.13,-5.76
222,IJC,3.2,16.4,13.55,11.5,16.85,14.16,1.27,"1,842,626.56","1,066,809.17",5.86,-1.09,-6.16,-5.79
223,SSB,3.2,27.5,22.7,22.6,27.8,25.0,1.42,"1,292,125.00","294,483.10",-12.52,-3.65,-6.19,-5.82
224,SMC,3.2,12.1,9.98,9.06,12.85,10.99,1.0,"348,348.44","215,269.00",4.5,-5.6,-6.22,-5.84
225,TVS,3.2,24.5,20.2,18.7,27.6,22.17,2.38,"107,570.31","98,235.74",0.75,-5.77,-6.23,-5.85
226,NAG,3.2,11.21,9.2,9.2,11.6,10.25,0.68,"133,702.98","79,803.71",-5.15,-5.95,-6.38,-5.99
227,ADS,3.2,15.9,13.05,12.3,16.75,14.05,1.2,"526,684.38","311,996.40",-2.61,-2.93,-6.37,-5.99
228,FCN,3.2,16.9,13.85,11.3,19.4,14.83,1.95,"3,347,307.81","2,457,598.36",9.06,-3.59,-6.42,-6.03
229,SAB,3.2,79.4,65.0,56.7,85.2,69.75,7.33,"554,271.88","250,866.83",5.86,-3.64,-6.45,-6.06
230,NDN,3.2,11.7,9.5,9.0,12.1,10.29,0.79,"230,044.58","145,829.41",0.0,-3.02,-6.71,-6.3
231,CEN,3.2,6.9,5.6,4.3,10.4,6.36,1.28,"1,293,763.23","965,017.07",14.29,-9.25,-6.72,-6.32
232,PAS,3.2,5.3,4.3,4.0,5.5,4.51,0.4,"269,362.36","168,964.05",0.0,1.18,-6.73,-6.33
233,QCG,3.2,13.35,10.8,9.5,15.15,11.58,1.36,"1,237,575.00","857,255.60",6.4,0.7,-6.82,-6.41
234,BMS,3.2,13.6,11.0,8.5,14.8,11.38,1.61,"249,099.55","122,130.95",13.4,-1.77,-6.83,-6.42
235,KHG,3.2,7.72,6.24,5.15,7.98,6.29,0.69,"5,129,889.06","2,559,845.74",13.04,0.81,-6.85,-6.43
236,C4G,3.2,14.6,11.8,9.8,15.3,12.48,1.42,"2,304,261.42","1,771,549.98",10.28,-3.61,-6.85,-6.44
237,KSB,3.2,31.35,25.3,21.0,33.95,27.2,3.23,"1,826,768.75","1,038,642.39",10.96,-4.77,-6.9,-6.48
238,APH,3.2,9.26,7.46,6.9,9.39,7.9,0.69,"697,170.31","455,591.97",2.61,-1.89,-6.95,-6.53
239,TVB,3.2,6.26,5.04,4.61,6.36,5.24,0.45,"223,942.19","192,264.23",1.2,-0.1,-6.97,-6.55
240,BMI,3.2,26.45,21.2,20.3,26.45,22.91,1.78,"138,192.19","90,021.98",-1.62,-5.66,-7.12,-6.69
241,KSQ,3.2,2.5,2.0,1.9,2.6,2.15,0.18,"130,095.92","102,788.88",0.0,-2.41,-7.17,-6.74
242,ITC,3.2,12.5,9.98,8.31,12.95,10.5,1.11,"415,448.44","312,359.81",11.26,-0.84,-7.23,-6.79
243,HAR,3.2,4.75,3.79,3.39,4.89,3.93,0.39,"424,237.50","215,540.21",2.43,3.33,-7.25,-6.81
244,VAB,3.2,8.3,6.6,6.5,8.3,7.24,0.56,"407,384.14","295,448.89",-2.94,-5.56,-7.36,-6.91
245,DXS,3.2,8.72,6.93,5.6,9.51,7.21,0.95,"2,723,181.25","2,183,568.62",15.69,1.76,-7.38,-6.93
246,SCR,3.2,8.76,6.96,5.8,9.12,7.23,0.82,"2,971,782.81","1,796,667.78",8.41,-0.21,-7.38,-6.94
247,CEO,3.2,27.2,21.6,18.2,28.4,22.35,2.75,"12,885,465.58","6,881,792.80",-2.26,4.98,-7.4,-6.95
248,SBS,3.2,9.2,7.3,5.8,10.0,7.82,1.08,"3,121,799.84","1,754,467.16",10.61,-4.48,-7.42,-6.97
249,GIL,3.2,31.7,25.15,21.85,36.0,28.74,3.96,"953,548.44","510,428.94",7.71,-10.79,-7.43,-6.98
250,S99,3.2,11.1,8.8,8.0,11.1,9.29,0.74,"305,764.70","200,963.44",2.33,-2.2,-7.45,-7.0
251,FCM,3.2,6.0,4.75,4.69,6.6,5.39,0.55,"187,457.81","236,639.39",-3.65,-7.82,-7.49,-7.04
252,IDI,3.2,13.9,11.0,9.44,15.4,12.53,1.62,"4,064,907.81","2,405,726.58",5.77,-10.88,-7.5,-7.05
253,EVS,3.2,11.0,8.7,6.7,12.3,9.22,1.5,"541,651.28","249,738.96",11.54,0.0,-7.52,-7.07
254,SKG,3.2,17.7,13.95,12.5,17.7,15.06,1.38,"391,726.56","248,465.39",1.82,-3.56,-7.63,-7.17
255,TNA,3.2,7.2,5.65,5.4,7.2,6.02,0.5,"102,151.56","136,270.03",1.99,-3.52,-7.76,-7.3
256,PLP,3.2,5.15,4.04,3.75,5.16,4.39,0.43,"101,679.69","79,503.06",2.8,-5.46,-7.77,-7.31
257,VCG,3.2,28.95,22.7,19.0,29.4,24.15,2.46,"10,186,440.62","4,103,382.10",7.58,-3.15,-7.79,-7.32
258,LTG,3.2,30.54,23.9,20.7,32.94,27.74,3.3,"395,010.03","317,097.32",4.37,-10.12,-7.85,-7.38
259,HBC,3.2,10.0,7.81,6.54,10.05,8.09,0.83,"1,347,039.06","916,618.01",11.73,-0.45,-7.91,-7.43
260,AGG,3.2,32.0,24.95,24.8,35.2,28.9,3.41,"558,485.94","352,692.62",-3.85,-9.26,-7.96,-7.48
261,TDH,3.2,6.03,4.67,4.38,6.63,5.13,0.5,"513,204.69","562,312.58",-0.21,-2.87,-8.17,-7.68
262,EVG,3.2,6.9,5.34,4.32,7.04,5.51,0.75,"2,400,689.06","1,285,411.26",14.1,2.13,-8.19,-7.7
263,DL1,3.2,5.3,4.1,3.6,5.3,4.39,0.5,"426,514.88","323,216.22",7.89,-3.47,-8.2,-7.71
264,CMX,3.2,10.95,8.47,7.62,11.7,9.49,1.23,"1,105,839.06","710,760.37",3.17,-9.75,-8.2,-7.71
265,JVC,3.2,4.14,3.2,2.95,4.3,3.49,0.35,"524,765.62","369,077.22",1.27,-3.69,-8.23,-7.73
266,VHG,3.2,3.5,2.7,2.5,3.6,2.91,0.27,"1,301,363.91","899,041.67",-3.57,-1.8,-8.29,-7.79
267,HBS,3.2,10.5,8.1,6.3,11.4,8.53,1.27,"113,982.45","94,229.23",12.5,0.0,-8.29,-7.79
268,AMV,3.2,4.8,3.7,3.4,4.8,3.99,0.39,"983,819.94","602,389.05",2.78,-2.6,-8.31,-7.81
269,PXS,3.2,6.1,4.7,4.4,6.3,5.21,0.53,"275,562.17","212,237.77",0.0,-3.05,-8.32,-7.82
270,DVG,3.2,3.9,3.0,2.9,4.0,3.22,0.3,"230,447.50","159,615.94",-3.23,0.0,-8.37,-7.87
271,NED,3.2,6.0,4.6,4.4,6.0,5.09,0.44,"191,020.42","126,126.28",-2.13,-5.03,-8.48,-7.97
272,NHA,3.2,22.45,17.2,14.1,24.0,17.83,2.59,"360,139.06","165,356.04",14.29,2.1,-8.5,-7.99
273,DSC,3.2,21.3,16.3,14.9,22.3,18.37,1.91,"149,561.80","103,330.01",-0.61,-8.57,-8.53,-8.02
274,LCM,3.2,3.4,2.6,2.5,3.5,2.91,0.33,"185,075.69","122,195.98",-3.7,-5.31,-8.55,-8.04
275,PXL,3.2,11.0,8.4,6.9,11.5,8.9,1.18,"318,422.39","249,990.37",12.0,-2.85,-8.6,-8.08
276,API,3.2,7.6,5.8,5.6,7.7,6.21,0.6,"589,955.94","480,175.39",-4.92,0.87,-8.62,-8.1
277,IDJ,3.2,8.0,6.1,5.5,8.2,6.43,0.68,"1,764,547.70","1,368,862.21",0.0,1.68,-8.64,-8.12
278,L14,3.2,58.0,44.2,36.3,59.9,44.67,5.99,"464,796.20","281,589.80",10.78,3.45,-8.66,-8.14
279,VPH,3.2,10.5,8.0,6.4,11.05,8.43,1.14,"449,539.06","228,437.74",16.96,-2.76,-8.67,-8.15
280,SRA,3.2,4.6,3.5,3.1,4.6,3.76,0.38,"264,116.03","184,178.52",2.94,-4.03,-8.71,-8.19
281,VRE,3.2,30.15,22.8,22.1,30.3,25.68,2.37,"4,339,878.12","2,215,578.26",-1.94,-8.11,-8.89,-8.36
282,MSN,3.2,81.5,61.5,57.8,82.7,69.59,7.43,"1,841,921.88","760,262.11",-1.91,-8.53,-8.96,-8.42
283,CII,3.2,22.41,16.9,13.9,23.48,18.12,2.57,"9,863,282.81","3,805,838.74",8.68,-3.77,-8.97,-8.44
284,TNT,3.2,6.1,4.58,3.89,6.71,5.12,0.76,"489,975.00","346,688.20",8.27,-3.32,-9.11,-8.57
285,TCD,3.2,9.23,6.88,6.28,9.41,7.67,0.84,"1,547,601.56","985,123.36",2.53,-6.44,-9.33,-8.77
286,NVB,3.2,14.5,10.8,9.9,15.1,11.89,1.54,"321,874.41","245,660.46",5.88,-5.52,-9.35,-8.8
287,FIR,3.2,27.2,20.2,20.2,27.2,22.56,1.72,"663,190.62","259,891.87",-11.6,-7.09,-9.44,-8.88
288,BCC,3.2,12.4,9.2,8.4,13.0,10.62,1.36,"354,821.45","265,954.99",0.0,-8.96,-9.47,-8.91
289,HUT,3.2,26.3,19.5,16.6,28.5,21.98,2.86,"5,757,399.52","2,787,634.68",4.28,-7.72,-9.49,-8.92
290,HHG,3.2,2.7,2.0,1.8,2.7,2.22,0.25,"499,000.30","323,827.93",0.0,-2.41,-9.52,-8.95
291,TDC,3.2,12.7,9.4,8.36,13.2,10.22,1.27,"448,348.44","283,291.39",3.3,-0.53,-9.54,-8.97
292,VPG,3.2,22.3,16.5,13.75,22.9,17.76,2.51,"1,721,473.44","884,084.65",8.2,-4.12,-9.55,-8.98
293,G36,3.2,9.6,7.1,6.4,9.9,7.75,1.02,"430,758.19","327,625.09",1.43,-3.98,-9.57,-9.0
294,VHM,3.2,55.3,40.9,38.45,55.9,44.64,4.73,"6,558,637.50","3,317,675.71",2.38,-4.24,-9.57,-9.0
295,ABS,3.2,7.62,5.62,4.97,7.97,6.17,0.82,"1,021,589.06","574,693.35",6.64,-7.02,-9.65,-9.08
296,DLG,3.2,3.0,2.21,1.85,3.0,2.37,0.3,"3,287,829.69","2,664,128.17",3.76,-5.98,-9.69,-9.11
297,DST,3.2,5.3,3.9,3.7,5.3,4.33,0.44,"135,860.81","117,120.40",0.0,-7.92,-9.72,-9.14
298,MCG,3.2,3.0,2.2,2.1,3.0,2.53,0.22,"103,531.69","83,978.93",-8.33,-6.19,-9.82,-9.24
299,BCG,3.2,11.7,8.58,7.01,12.15,9.32,1.44,"9,756,582.81","6,465,504.65",7.79,-3.9,-9.82,-9.24
300,KVC,3.2,3.0,2.2,2.1,3.1,2.54,0.3,"667,897.31","479,595.29",-4.35,-8.01,-9.82,-9.24
301,MBG,3.2,5.6,4.1,3.8,5.7,4.53,0.54,"920,923.69","522,120.75",0.0,-4.55,-9.87,-9.28
302,DC4,3.2,12.9,9.42,8.9,14.15,11.02,1.6,"187,696.88","189,953.96",-1.57,-7.46,-9.95,-9.36
303,IPA,3.2,20.3,14.8,12.6,21.4,16.31,2.28,"509,868.78","303,710.18",4.96,-4.12,-10.0,-9.4
304,CKG,3.2,30.1,21.95,20.55,30.3,23.74,2.61,"106,689.06","125,579.85",1.15,-3.35,-9.99,-9.4
305,MHC,3.2,12.6,9.15,7.51,12.95,9.45,1.36,"662,487.50","397,152.20",8.41,3.21,-10.12,-9.51
306,TTF,3.2,5.5,3.99,3.74,5.65,4.4,0.56,"2,242,503.12","1,507,232.89",2.31,-3.45,-10.15,-9.54
307,AFX,3.2,12.7,9.2,9.1,12.8,10.29,1.14,"137,935.97","138,194.44",-2.13,-4.56,-10.19,-9.58
308,FIT,3.2,6.05,4.35,3.86,6.16,4.88,0.64,"2,329,367.19","1,649,628.90",3.08,-5.78,-10.41,-9.8
309,IVS,3.2,13.5,9.7,7.8,14.0,10.46,1.6,"151,289.53","147,788.41",6.59,-1.02,-10.43,-9.81
310,APS,3.2,9.5,6.8,6.1,9.8,7.32,1.02,"1,243,990.33","960,460.26",0.0,3.08,-10.55,-9.92
311,LGL,3.2,5.6,4.0,3.68,5.6,4.31,0.48,"210,520.31","154,188.25",0.25,-0.74,-10.61,-9.98
312,MWG,3.2,54.3,38.75,35.1,57.5,46.0,6.66,"8,949,032.81","4,040,591.65",4.73,-11.25,-10.64,-10.01
313,CRE,3.2,10.55,7.52,6.85,10.6,8.24,0.97,"1,156,078.12","960,524.32",1.9,-2.5,-10.67,-10.04
314,PFL,3.2,4.1,2.9,2.7,4.2,3.31,0.44,"229,670.25","164,146.86",0.0,-6.26,-10.9,-10.26
315,BNA,3.2,14.2,10.0,9.1,14.2,11.04,1.53,"123,953.16","100,863.76",1.01,-3.77,-11.03,-10.38
316,LIG,3.2,5.7,4.0,3.6,5.7,4.45,0.62,"830,615.36","492,255.64",2.56,-5.72,-11.14,-10.48
317,KPF,3.2,7.21,5.05,4.59,7.25,5.74,0.74,"797,471.88","618,986.00",4.12,-8.56,-11.19,-10.53
318,VC2,3.2,14.2,9.9,8.3,14.8,11.0,1.63,"362,738.14","207,663.95",8.79,-3.81,-11.33,-10.66
319,LMH,3.2,4.2,2.9,2.8,4.3,3.34,0.46,"382,444.48","238,487.96",-6.45,-4.8,-11.61,-10.93
320,DRH,3.2,6.97,4.81,3.95,7.16,5.23,0.87,"1,939,879.69","1,200,280.63",12.38,-2.88,-11.63,-10.94
321,DDG,3.2,8.7,6.0,5.7,9.3,6.96,0.96,"1,173,824.61","784,222.84",-3.23,-6.07,-11.65,-10.96
322,VFS,3.2,27.7,19.0,18.8,27.7,21.13,2.12,"420,731.58","338,693.53",-6.86,-3.96,-11.81,-11.11
323,NRC,3.2,6.6,4.5,4.5,6.7,5.3,0.54,"1,128,539.69","722,162.17",-10.0,-6.97,-11.99,-11.28
324,TSC,3.2,5.35,3.64,3.25,5.61,4.03,0.6,"1,971,528.12","1,850,086.44",3.12,-2.13,-12.05,-11.34
325,C69,3.2,10.0,6.8,6.0,10.0,7.72,1.05,"297,710.33","137,830.80",3.03,-4.78,-12.06,-11.35
326,DAG,3.2,4.66,3.16,3.08,4.76,3.66,0.49,"372,290.62","266,950.11",-2.77,-8.57,-12.14,-11.43
327,VIC,3.2,62.3,42.1,40.4,62.3,46.53,5.91,"8,457,082.81","5,963,709.94",1.57,-4.44,-12.25,-11.53
328,SCI,3.2,18.4,12.4,11.5,18.9,14.31,2.0,"105,352.17","93,615.08",-0.8,-5.21,-12.33,-11.6
329,PHC,3.2,10.2,6.73,6.05,10.2,7.61,1.09,"285,514.06","282,445.90",4.02,-5.96,-12.94,-12.19
330,PV2,3.2,4.1,2.7,2.4,4.1,3.05,0.44,"228,989.28","164,206.28",-3.57,-6.67,-13.0,-12.24
331,PXI,3.2,4.1,2.7,2.5,4.3,3.25,0.56,"162,122.30","107,632.77",0.0,-9.55,-13.0,-12.24
332,POM,3.2,6.99,4.6,4.3,7.3,5.39,0.83,"463,564.06","331,312.27",-1.08,-9.21,-13.02,-12.26
333,SDA,3.2,8.6,5.6,5.2,8.7,6.49,1.03,"106,426.80","75,071.28",-1.75,-9.25,-13.32,-12.55
334,AAV,3.2,6.3,4.1,3.8,6.4,4.71,0.71,"456,719.92","378,607.60",-6.82,-3.47,-13.34,-12.56
335,LDG,3.2,5.34,3.45,3.36,5.51,4.08,0.56,"3,071,075.00","2,218,792.90",-3.9,-5.83,-13.55,-12.76
336,KGM,3.2,12.3,7.8,7.2,14.0,10.68,1.78,"157,813.47","151,255.83",-17.89,-19.38,-14.09,-13.27
337,BOT,3.2,5.2,3.2,3.1,5.2,3.85,0.6,"901,076.09","749,053.97",-13.51,-9.42,-14.94,-14.08
338,VC7,3.2,24.43,14.7,11.06,25.11,18.07,3.44,"503,249.83","324,122.95",21.64,-8.53,-15.57,-14.67
339,DGT,3.2,9.2,5.2,5.0,9.7,6.5,1.45,"640,051.14","585,549.10",-5.45,-10.56,-17.32,-16.33
340,TKG,3.2,13.1,7.3,5.4,14.2,8.02,2.58,"415,652.27","404,532.67",4.29,10.3,-17.71,-16.7
341,VNE,3.2,12.2,6.42,5.7,12.3,9.01,2.47,"1,108,485.94","1,485,772.62",5.42,-24.29,-19.27,-18.18
342,SJF,3.2,4.24,1.79,1.79,4.55,2.89,0.9,"476,870.31","629,393.10",-25.1,-28.79,-24.98,-23.62
