,Symbol,Count Month,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Month 1,Month 2,Month 3,Month Full
61,OCB,3.2,13.33,13.35,12.1,14.7,13.48,0.64,"2,294,309.38","1,729,720.89",1.14,0.38,0.04,0.04
62,SHS,3.2,18.4,18.4,12.9,20.5,17.39,1.54,"27,707,584.50","9,991,963.51",19.48,4.34,0.0,0.0
63,TTH,3.2,3.9,3.9,3.6,5.2,4.18,0.37,"825,533.17","612,482.21",0.0,-3.64,0.0,0.0
64,PTB,3.2,57.5,57.5,52.3,62.4,57.62,1.58,"352,843.75","340,185.09",2.68,-1.53,0.0,0.0
65,DRC,3.2,23.15,23.1,21.0,24.65,22.92,0.62,"299,818.75","260,921.94",3.13,0.88,-0.07,-0.07
66,DHT,3.2,23.1,23.0,19.4,23.3,21.78,1.14,"109,441.27","87,063.64",5.5,8.05,-0.14,-0.14
67,TTA,3.2,8.09,8.03,7.52,9.0,8.15,0.25,"677,048.44","513,088.18",-1.35,-1.82,-0.25,-0.23
68,TCI,3.2,12.6,12.5,9.1,13.7,11.27,1.21,"840,453.22","621,364.96",23.76,9.11,-0.27,-0.25
69,DBC,3.2,25.6,25.1,18.05,26.0,22.65,1.97,"5,373,931.25","2,759,606.45",26.77,7.55,-0.66,-0.61
70,VEA,3.2,33.56,32.9,31.69,34.45,33.29,0.7,"511,398.53","310,558.90",1.54,0.08,-0.66,-0.62
71,KOS,3.2,39.55,38.75,37.0,39.55,38.64,0.89,"354,339.06","120,418.69",0.52,-0.77,-0.68,-0.64
72,DCL,3.2,23.4,22.75,22.0,23.5,22.82,0.3,"100,535.94","58,245.23",-0.66,0.11,-0.93,-0.88
73,KDC,3.2,65.0,63.0,59.9,65.7,63.79,0.89,"860,592.19","151,590.95",-0.79,-0.78,-1.04,-0.97
74,HPG,3.2,27.8,26.9,22.8,29.0,26.17,1.56,"24,504,495.31","10,565,270.49",6.53,3.22,-1.09,-1.02
75,TEG,3.2,10.3,9.96,9.22,10.9,9.89,0.36,"105,295.31","115,715.57",4.29,-0.45,-1.11,-1.04
76,VTO,3.2,9.5,9.18,8.6,9.84,9.26,0.3,"387,743.75","350,738.17",2.68,0.11,-1.14,-1.07
77,TV2,3.2,41.5,40.1,28.75,42.65,37.23,3.41,"416,392.19","237,940.99",25.71,2.86,-1.14,-1.07
78,ACB,3.2,22.75,21.95,21.1,23.3,22.24,0.47,"6,057,881.25","4,166,286.11",-1.57,0.81,-1.19,-1.11
79,APG,3.2,10.2,9.84,8.45,12.15,9.78,0.88,"1,462,518.75","1,303,753.72",1.23,3.7,-1.19,-1.12
80,VPB,3.2,20.02,19.3,18.87,21.64,20.1,0.77,"13,393,764.06","7,475,601.21",-0.26,-1.81,-1.21,-1.13
81,BVB,3.2,10.9,10.5,10.0,10.9,10.43,0.22,"271,484.72","177,148.52",1.94,0.0,-1.24,-1.16
82,PHR,3.2,49.16,47.35,41.8,53.2,47.62,2.09,"388,892.19","218,392.66",5.22,0.27,-1.24,-1.17
83,CMG,3.2,50.8,48.8,43.5,50.8,47.9,1.8,"113,904.69","118,261.15",9.79,1.36,-1.33,-1.25
84,SSI,3.2,33.35,32.0,25.75,36.45,31.91,2.21,"26,552,878.12","10,087,137.18",10.73,0.39,-1.37,-1.28
85,CTS,3.2,28.75,27.55,19.4,32.8,26.69,3.18,"2,017,112.50","655,462.59",24.1,1.39,-1.41,-1.32
86,NBB,3.2,21.7,20.8,17.6,23.5,20.76,1.33,"268,881.25","242,259.36",3.48,4.91,-1.4,-1.32
87,PSI,3.2,9.4,9.0,7.6,12.2,9.45,1.08,"326,434.67","295,757.39",7.14,-2.15,-1.44,-1.35
88,BIC,3.2,27.07,25.9,23.55,27.59,25.57,1.03,"103,364.06","130,199.60",4.44,1.08,-1.46,-1.37
89,KDH,3.2,33.0,31.55,28.4,33.14,30.65,1.33,"1,420,254.69","614,562.19",5.17,4.3,-1.49,-1.39
