,Symbol,Count Day,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Day 1,Day 2,Day 3,Day 4,Day 5,Day Full
42,ELC,5.0,24.3,26.1,24.3,26.1,24.99,0.79,"1,159,160.00","540,953.91",0.0,1.07,2.27,1.49,1.44,1.44
43,VE9,5.0,6.8,7.3,6.8,8.0,7.58,0.52,"403,505.60","319,815.27",0.0,-4.48,-3.01,-1.64,1.43,1.43
44,SHI,5.0,17.05,18.3,16.7,18.3,17.24,0.62,"1,929,600.00","1,397,280.52",0.0,3.3,2.49,2.31,1.43,1.43
45,CNT,5.0,20.5,22.0,20.0,22.9,21.64,1.33,"119,023.20","249,308.17",0.0,-1.77,-1.33,2.41,1.42,1.42
46,SD5,5.0,12.6,13.5,12.0,13.7,12.86,0.72,"432,829.40","447,194.83",0.0,-0.73,2.6,2.99,1.39,1.39
47,KDM,5.0,8.9,9.5,8.9,9.6,9.32,0.27,"243,394.00","179,382.69",0.0,1.07,0.71,-0.26,1.31,1.31
48,SD9,5.0,13.4,14.3,13.0,14.5,13.68,0.68,"696,495.60","217,910.10",0.0,-0.69,2.7,2.41,1.31,1.31
49,VNA,5.0,39.8,42.4,39.8,42.4,41.32,1.21,"598,390.40","251,942.56",0.0,0.84,0.0,1.28,1.27,1.27
50,HOM,5.0,9.3,9.9,8.9,9.9,9.26,0.39,"673,116.60","698,958.84",0.0,3.73,3.61,2.41,1.26,1.26
51,VC2,5.0,55.5,59.1,55.5,59.1,57.1,1.79,"476,545.00","449,838.43",0.0,0.08,1.81,1.4,1.26,1.26
52,BOT,5.0,14.0,14.9,14.0,16.5,15.44,0.99,"1,761,233.60","448,459.74",0.0,-3.2,-3.34,-1.61,1.25,1.25
53,TLG,5.0,44.35,47.2,44.35,47.2,45.79,1.11,"113,580.00","80,305.68",0.0,0.86,1.53,0.7,1.25,1.25
54,EIB,5.0,33.35,35.4,33.15,35.4,34.19,0.95,"595,640.00","335,289.00",0.0,1.59,0.62,1.66,1.2,1.2
55,TTF,5.0,15.65,16.6,15.2,16.6,15.65,0.56,"10,210,700.00","3,985,054.58",0.0,3.32,2.87,2.23,1.19,1.19
56,TEG,5.0,15.0,15.9,15.0,16.1,15.41,0.54,"522,740.00","345,303.51",0.0,-0.62,1.85,1.47,1.17,1.17
57,EVF,5.0,16.8,17.8,16.7,18.05,17.44,0.64,"1,361,900.00","1,063,897.02",0.0,-0.69,-0.09,1.61,1.16,1.16
58,HT1,5.0,22.9,24.25,21.9,24.25,22.8,0.9,"2,787,260.00","3,063,186.91",0.0,3.36,3.46,2.18,1.15,1.15
59,KHP,5.0,17.0,18.0,16.7,18.15,17.37,0.66,"999,360.00","771,186.51",0.0,-0.41,1.92,1.89,1.15,1.15
60,BKG,5.0,11.25,11.9,11.0,11.9,11.3,0.35,"1,143,680.00","1,132,769.59",0.0,3.08,2.66,1.64,1.13,1.13
61,ANV,5.0,39.25,41.5,37.65,41.5,39.68,1.69,"1,303,940.00","478,282.62",0.0,0.18,2.4,2.46,1.12,1.12
62,SD3,5.0,8.8,9.3,8.6,9.3,8.92,0.36,"207,520.80","106,911.34",0.0,0.0,2.64,1.98,1.11,1.11
63,LDP,5.0,44.5,47.0,44.5,48.1,46.52,1.35,"171,836.20","53,008.09",0.0,1.08,0.0,-0.58,1.1,1.1
64,PTB,5.0,107.0,112.9,105.0,112.9,107.2,3.27,"358,400.00","373,770.70",0.0,3.4,2.29,1.83,1.08,1.08
65,BCC,5.0,22.8,24.0,21.4,24.0,22.56,1.01,"1,650,336.40","1,249,360.26",0.0,2.6,3.9,2.43,1.03,1.03
66,VND,5.0,30.91,32.5,29.85,32.5,31.11,1.06,"12,065,260.00","11,992,020.38",0.0,1.02,2.88,1.63,1.01,1.01
67,QTP,5.0,19.0,19.9,18.9,19.9,19.3,0.41,"2,230,411.00","1,795,999.48",0.0,1.02,1.73,0.9,0.93,0.93
68,TV2,5.0,61.0,63.9,61.0,64.7,63.46,1.44,"432,500.00","225,049.02",0.0,-0.23,-0.41,0.16,0.93,0.93
69,SVD,5.0,12.6,13.2,12.4,14.15,13.12,0.68,"617,980.00","259,579.70",0.0,-3.42,-0.13,1.58,0.93,0.93
70,FMC,5.0,59.7,62.5,58.0,62.5,60.24,1.94,"275,220.00","50,318.75",0.0,0.4,1.94,1.89,0.92,0.92
71,BCG,5.0,24.9,26.05,24.85,26.55,25.44,0.8,"10,705,760.00","5,547,563.77",0.0,-0.95,1.58,1.19,0.91,0.91
72,OGC,5.0,12.9,13.5,12.9,13.8,13.39,0.35,"4,884,640.00","1,896,077.10",0.0,-0.18,0.75,-0.55,0.91,0.91
73,VSC,5.0,45.6,47.7,44.6,47.7,46.58,1.41,"1,856,280.00","853,766.38",0.0,0.42,0.0,1.69,0.9,0.9
74,TTA,5.0,15.4,16.1,15.35,16.1,15.53,0.32,"1,081,520.00","497,291.02",0.0,2.08,1.6,1.2,0.89,0.89
75,MSR,5.0,30.9,32.3,30.7,33.5,32.18,1.35,"2,200,031.40","717,875.43",0.0,-1.81,-1.21,1.28,0.89,0.89
76,SDT,5.0,8.9,9.3,8.6,9.6,9.06,0.39,"352,250.80","298,497.00",0.0,-1.57,1.48,1.98,0.88,0.88
77,PPH,5.0,34.7,36.2,34.2,36.8,35.26,1.17,"116,715.20","121,823.96",0.0,-0.82,1.71,1.43,0.85,0.85
78,DRI,5.0,18.9,19.7,18.9,21.5,19.98,0.97,"2,844,622.40","1,145,497.19",0.0,0.25,-2.87,-0.62,0.83,0.83
79,ICT,5.0,20.2,21.05,20.2,21.4,20.95,0.45,"250,600.00","191,388.66",0.0,-0.12,0.08,-0.41,0.83,0.83
80,VHG,5.0,9.9,10.3,9.9,10.6,10.12,0.32,"9,229,006.20","3,753,388.97",0.0,-1.43,1.33,1.0,0.8,0.8
81,GEG,5.0,26.95,28.0,26.95,28.4,27.87,0.54,"2,648,740.00","1,626,675.51",0.0,0.09,-0.47,-0.04,0.77,0.77
82,ITD,5.0,16.55,17.2,16.1,17.2,16.67,0.41,"606,360.00","229,656.08",0.0,0.88,2.23,0.89,0.77,0.77
83,TVC,5.0,22.9,23.8,22.1,23.9,23.04,0.79,"5,368,816.60","2,970,691.72",0.0,-0.21,1.89,1.87,0.77,0.77
84,FID,5.0,7.8,8.1,7.5,8.1,7.74,0.25,"1,106,082.60","582,265.31",0.0,1.9,2.6,1.94,0.76,0.76
85,TNH,5.0,47.95,49.8,47.95,52.9,50.81,2.01,"856,440.00","640,763.38",0.0,-2.51,-1.99,-0.59,0.76,0.76
86,VKC,5.0,13.1,13.6,13.1,14.6,13.56,0.61,"1,341,396.20","606,605.39",0.0,-3.49,0.75,0.75,0.75,0.75
87,DXS,5.0,38.5,39.95,37.15,39.95,38.67,1.26,"1,404,360.00","210,951.79",0.0,0.0,1.86,1.83,0.74,0.74
