,Symbol,Count Month,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Month 1,Month Full
59,VHC,1.05,61.41,65.4,58.41,66.9,62.59,2.37,"671,333.33","276,780.38",6.49,6.17
60,TNH,1.05,18.18,19.35,17.7,20.1,18.73,0.86,"325,857.14","100,325.29",6.46,6.15
61,LPB,1.05,15.65,16.6,15.3,16.6,15.95,0.47,"3,169,214.29","2,345,566.27",6.07,5.77
62,TC6,1.05,8.3,8.8,8.1,8.9,8.39,0.24,"103,272.19","114,346.53",6.02,5.73
63,TDT,1.05,6.7,7.1,6.6,7.4,7.04,0.31,"107,301.67","89,875.04",5.97,5.68
64,SSI,1.05,32.0,33.85,31.7,34.15,32.91,0.8,"18,900,961.90","10,433,344.46",5.78,5.5
65,CTS,1.05,26.85,28.4,26.85,29.35,28.06,0.61,"1,422,819.05","547,027.43",5.77,5.49
66,PDR,1.05,26.1,27.6,26.1,28.6,27.29,0.72,"10,488,890.48","3,526,298.49",5.75,5.47
67,DRI,1.05,6.81,7.2,6.72,7.7,7.21,0.28,"318,724.76","276,318.63",5.7,5.42
68,ABS,1.05,5.73,6.05,5.68,6.44,5.91,0.22,"812,638.10","729,957.89",5.58,5.31
69,FUEVFVND,1.05,25.29,26.68,24.79,26.68,25.91,0.63,"4,467,585.71","3,409,465.67",5.5,5.23
70,MBS,1.05,22.0,23.2,22.0,23.4,22.79,0.3,"3,754,335.86","1,545,045.10",5.45,5.19
71,E1VFVN30,1.05,19.08,20.1,18.77,20.1,19.46,0.48,"500,938.10","492,793.10",5.35,5.08
72,GKM,1.05,32.2,33.9,32.1,36.0,33.89,1.31,"564,094.81","371,699.64",5.28,5.02
73,VCB,1.05,84.4,88.7,80.3,89.5,84.04,3.0,"1,611,480.95","514,061.18",5.09,4.85
74,DIG,1.05,25.1,26.35,25.1,27.75,26.38,0.69,"17,863,295.24","7,348,710.93",4.98,4.74
75,GSP,1.05,11.35,11.9,11.35,12.2,11.75,0.28,"138,742.86","127,145.77",4.85,4.61
76,PAN,1.05,19.7,20.65,19.0,21.05,20.14,0.69,"1,084,552.38","513,286.89",4.82,4.59
77,CSV,1.05,40.8,42.75,39.4,43.8,41.62,1.52,"391,104.76","188,674.77",4.78,4.55
78,AGR,1.05,15.85,16.6,15.7,17.0,16.2,0.36,"1,431,438.10","780,779.76",4.73,4.5
79,TVB,1.05,5.13,5.37,5.12,5.69,5.42,0.2,"136,523.81","72,292.53",4.68,4.45
80,FTS,1.05,42.0,43.95,42.0,44.75,43.8,0.75,"1,298,000.00","356,486.04",4.64,4.42
81,MIG,1.05,17.3,18.1,17.3,18.9,18.23,0.42,"134,971.43","110,696.50",4.62,4.4
82,VOS,1.05,10.8,11.3,10.6,11.8,11.32,0.34,"1,614,990.48","1,040,548.89",4.63,4.4
83,TDM,1.05,38.24,40.0,38.24,40.55,39.49,0.72,"124,585.71","203,360.00",4.6,4.38
84,NRC,1.05,4.5,4.7,4.5,4.9,4.76,0.14,"772,601.14","513,145.45",4.44,4.23
85,VDS,1.05,16.2,16.9,16.05,17.6,16.97,0.46,"537,795.24","378,648.18",4.32,4.11
86,BMI,1.05,20.9,21.8,20.8,22.3,21.35,0.4,"150,747.62","92,385.07",4.31,4.1
87,BCC,1.05,9.3,9.7,9.1,10.0,9.42,0.3,"253,144.67","236,994.75",4.3,4.09
88,BVH,1.05,40.15,41.8,38.9,42.0,39.85,0.79,"369,828.57","278,594.91",4.11,3.91
89,CMG,1.05,38.9,40.5,38.9,44.15,41.0,1.81,"214,166.67","206,602.51",4.11,3.91
90,NBB,1.05,21.0,21.85,20.1,22.65,21.09,0.77,"124,642.86","167,959.51",4.05,3.85
91,LTG,1.05,24.8,25.8,24.8,26.5,25.69,0.5,"217,193.71","79,287.40",4.03,3.84
92,PRT,1.05,10.6,11.0,10.2,15.0,11.39,1.12,"113,413.33","211,990.68",3.77,3.59
93,SSB,1.05,22.6,23.45,22.6,23.95,23.11,0.5,"1,155,714.29","112,732.85",3.76,3.58
94,HBC,1.05,7.5,7.78,7.5,8.13,7.81,0.17,"843,880.95","473,966.37",3.73,3.55
95,NTL,1.05,28.15,29.2,26.8,30.0,28.55,1.05,"759,371.43","292,847.61",3.73,3.55
96,HT1,1.05,12.1,12.55,11.95,12.8,12.25,0.31,"294,014.29","199,516.41",3.72,3.54
97,VCI,1.05,40.5,42.0,40.5,42.75,41.88,0.75,"4,705,233.33","1,706,778.21",3.7,3.52
98,BSI,1.05,44.85,46.5,44.6,47.8,46.34,0.8,"595,004.76","226,905.07",3.68,3.5
99,CTF,1.05,31.05,32.15,30.7,32.2,31.76,0.48,"787,171.43","231,036.34",3.54,3.37
100,QTP,1.05,13.91,14.4,13.91,14.7,14.38,0.27,"226,343.81","109,921.40",3.49,3.32
101,CTI,1.05,14.5,15.0,14.0,15.65,15.03,0.49,"412,223.81","186,335.15",3.45,3.28
102,VPB,1.05,19.0,19.65,18.15,19.65,18.87,0.49,"13,213,438.10","7,103,804.03",3.42,3.26
