,Symbol,Count Month,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Month 1,Month Full
235,FCN,1.05,14.45,14.1,13.9,14.9,14.43,0.28,"1,662,990.48","854,612.32",-2.42,-2.31
236,KDH,1.05,30.65,29.9,29.8,31.4,30.51,0.44,"1,632,061.90","538,828.48",-2.45,-2.33
237,C4G,1.05,11.9,11.6,11.6,12.2,11.85,0.16,"1,019,849.71","505,570.05",-2.52,-2.4
238,TV2,1.05,38.0,37.0,37.0,39.35,38.42,0.61,"254,247.62","115,863.28",-2.63,-2.51
239,JVC,1.05,3.4,3.31,3.31,3.46,3.39,0.04,"333,385.71","166,328.92",-2.65,-2.52
240,CEO,1.05,22.6,22.0,22.0,23.3,22.68,0.27,"9,698,551.52","4,013,236.30",-2.65,-2.53
241,TSC,1.05,3.76,3.66,3.66,3.98,3.78,0.08,"958,361.90","652,393.05",-2.66,-2.53
242,TCM,1.05,41.7,40.55,40.55,41.7,40.95,0.31,"660,247.62","187,377.29",-2.76,-2.63
243,MHC,1.05,9.45,9.17,9.07,9.49,9.22,0.14,"339,257.14","173,266.06",-2.96,-2.82
244,CMX,1.05,8.72,8.46,8.46,8.9,8.73,0.1,"370,700.00","131,261.33",-2.98,-2.84
245,CVN,1.05,3.3,3.2,3.2,3.4,3.31,0.06,"132,861.19","85,528.16",-3.03,-2.89
246,DVG,1.05,3.2,3.1,3.0,3.2,3.1,0.05,"122,446.00","97,433.14",-3.12,-2.98
247,YEG,1.05,11.1,10.75,10.75,12.05,11.48,0.34,"1,086,147.62","564,014.64",-3.15,-3.01
248,EVG,1.05,5.38,5.21,5.21,5.76,5.52,0.12,"2,184,752.38","840,343.15",-3.16,-3.01
249,PHC,1.05,7.08,6.85,6.78,7.12,6.94,0.1,"120,366.67","60,877.46",-3.25,-3.1
250,S99,1.05,9.0,8.7,8.7,9.4,9.09,0.13,"159,085.14","99,514.31",-3.33,-3.18
251,TDP,1.05,29.95,28.95,27.6,30.0,29.2,0.68,"113,366.67","52,931.58",-3.34,-3.18
252,BOT,1.05,3.0,2.9,2.6,3.2,2.89,0.15,"914,661.57","736,361.36",-3.33,-3.18
253,LMH,1.05,3.0,2.9,2.8,3.0,2.91,0.07,"184,406.29","91,688.09",-3.33,-3.18
254,PVB,1.05,20.8,20.1,20.1,21.3,20.95,0.26,"138,205.38","56,607.02",-3.37,-3.21
255,DDG,1.05,5.9,5.7,5.6,6.0,5.73,0.12,"808,439.67","541,370.62",-3.39,-3.23
256,PXL,1.05,8.8,8.5,8.5,9.0,8.74,0.14,"136,994.19","63,133.40",-3.41,-3.25
257,BCG,1.05,8.98,8.67,8.33,9.05,8.68,0.25,"5,802,095.24","4,323,711.42",-3.45,-3.29
258,HDC,1.05,31.8,30.7,30.7,33.1,32.33,0.55,"2,020,157.14","913,446.09",-3.46,-3.3
259,REE,1.05,57.1,55.1,55.1,57.7,56.51,0.69,"576,714.29","221,202.95",-3.5,-3.34
260,VGC,1.05,53.5,51.6,51.6,54.9,53.13,0.93,"732,738.10","290,915.53",-3.55,-3.39
261,PFL,1.05,2.7,2.6,2.6,2.7,2.66,0.05,"107,210.67","73,425.48",-3.7,-3.53
262,LCM,1.05,2.7,2.6,2.5,2.7,2.6,0.05,"144,869.10","92,643.92",-3.7,-3.53
263,SKG,1.05,14.75,14.2,14.2,14.95,14.69,0.21,"270,757.14","123,037.09",-3.73,-3.55
264,VIG,1.05,7.9,7.6,7.6,7.9,7.73,0.09,"270,824.71","210,875.68",-3.8,-3.62
265,HVH,1.05,5.56,5.34,5.34,5.56,5.42,0.06,"158,000.00","71,783.31",-3.96,-3.77
266,PVC,1.05,15.0,14.4,14.4,15.2,14.93,0.21,"1,037,141.05","566,372.25",-4.0,-3.81
267,QBS,1.05,2.4,2.3,2.3,2.4,2.36,0.03,"300,323.81","139,617.87",-4.17,-3.97
268,PXS,1.05,4.7,4.5,4.5,4.7,4.55,0.06,"123,167.90","64,201.65",-4.26,-4.06
269,PLC,1.05,32.2,30.8,30.7,32.4,31.5,0.5,"103,721.57","64,280.89",-4.35,-4.15
270,HTN,1.05,15.75,15.05,15.05,16.2,15.87,0.25,"747,485.71","412,200.16",-4.44,-4.24
271,KVC,1.05,2.2,2.1,2.1,2.3,2.19,0.07,"196,804.90","202,486.23",-4.55,-4.33
272,DL1,1.05,4.4,4.2,4.2,4.4,4.28,0.08,"349,099.29","179,238.76",-4.55,-4.33
273,DBD,1.05,56.0,53.4,52.6,56.0,54.24,0.88,"131,285.71","86,605.86",-4.64,-4.43
274,GEX,1.05,22.35,21.3,21.3,23.6,22.53,0.58,"17,730,776.19","8,320,701.25",-4.7,-4.48
275,HHG,1.05,2.0,1.9,1.9,2.0,1.94,0.05,"211,333.29","113,853.87",-5.0,-4.77
276,API,1.05,5.9,5.6,5.6,5.9,5.71,0.07,"241,422.76","91,717.63",-5.08,-4.85
277,ADS,1.05,13.5,12.8,12.8,13.85,13.35,0.27,"395,790.48","308,930.01",-5.19,-4.94
278,SRA,1.05,3.7,3.5,3.5,3.8,3.6,0.09,"254,826.00","238,457.75",-5.41,-5.15
279,TDH,1.05,4.76,4.49,4.49,4.76,4.64,0.07,"167,904.76","77,400.52",-5.67,-5.41
280,HCD,1.05,7.85,7.39,7.39,7.93,7.73,0.15,"531,690.48","185,147.14",-5.86,-5.59
281,APS,1.05,6.8,6.4,6.4,6.8,6.72,0.11,"446,222.00","156,731.09",-5.88,-5.61
282,BCM,1.05,63.7,59.9,59.2,63.7,61.37,1.16,"487,166.67","108,889.46",-5.97,-5.69
283,L14,1.05,45.0,42.2,42.2,45.5,44.68,0.72,"242,068.48","95,686.72",-6.22,-5.93
284,VHE,1.05,3.2,3.0,2.9,3.2,3.08,0.08,"218,251.10","130,995.07",-6.25,-5.96
285,TNT,1.05,4.85,4.54,4.54,4.85,4.67,0.09,"282,128.57","195,411.66",-6.39,-6.1
286,HAP,1.05,4.99,4.67,4.67,4.99,4.8,0.08,"135,552.38","76,725.00",-6.41,-6.12
287,IDJ,1.05,6.2,5.8,5.8,6.4,6.22,0.13,"1,270,230.90","468,578.79",-6.45,-6.15
288,VNE,1.05,6.95,6.48,6.48,6.95,6.74,0.13,"678,419.05","262,113.27",-6.76,-6.45
289,TIP,1.05,24.5,22.6,22.6,24.5,23.93,0.4,"248,414.29","126,169.85",-7.76,-7.4
290,RDP,1.05,9.5,8.75,8.75,10.1,9.38,0.25,"812,833.33","1,218,264.90",-7.89,-7.53
291,HTP,1.05,14.4,13.2,13.0,24.1,17.13,3.36,"421,355.24","438,960.02",-8.33,-7.95
292,CTP,1.05,4.5,4.1,4.1,4.8,4.4,0.16,"127,651.05","73,157.01",-8.89,-8.48
293,TIG,1.05,13.0,11.8,11.8,13.0,12.37,0.34,"2,414,871.33","1,392,430.49",-9.23,-8.81
294,VC7,1.05,14.7,13.3,13.3,15.4,14.68,0.4,"441,248.14","254,692.88",-9.52,-9.09
295,VHG,1.05,3.0,2.7,2.7,3.0,2.8,0.07,"1,274,121.95","859,912.46",-10.0,-9.55
296,TTH,1.05,3.9,3.5,3.5,3.9,3.77,0.11,"365,555.14","192,137.86",-10.26,-9.79
297,HDG,1.05,27.9,25.0,25.0,29.25,27.37,1.11,"2,096,066.67","1,080,690.95",-10.39,-9.92
298,CIG,1.05,6.88,6.1,6.1,6.88,6.46,0.18,"110,828.57","55,815.31",-11.34,-10.83
299,ITA,1.05,7.1,6.27,6.27,7.21,6.64,0.25,"6,211,723.81","2,507,882.39",-11.69,-11.17
300,KPF,1.05,5.67,5.0,5.0,5.67,5.37,0.14,"537,785.71","329,979.25",-11.82,-11.29
301,AAV,1.05,4.2,3.7,3.7,4.3,4.08,0.15,"370,480.14","297,192.93",-11.9,-11.37
302,QCG,1.05,10.95,9.51,9.51,11.05,10.44,0.51,"924,342.86","903,630.46",-13.15,-12.57
303,HSL,1.05,9.5,8.04,8.04,11.5,9.53,1.05,"1,224,642.86","836,939.46",-15.37,-14.69
304,PSH,1.05,10.8,8.58,7.8,10.8,9.85,0.87,"1,188,219.05","1,422,694.64",-20.56,-19.68
305,FIR,1.05,20.3,13.65,13.6,20.4,18.18,2.43,"1,178,600.00","1,159,533.75",-32.76,-31.48
