,Symbol,Count Month,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month Full
60,GIL,6.1,19.45,27.0,18.15,27.7,22.07,2.95,"714,820.49","429,559.86",1.89,8.35,9.61,8.83,6.72,5.62,5.52
61,NAF,6.1,10.1,14.0,10.0,14.1,11.53,1.37,"128,099.18","89,661.02",2.94,6.69,9.89,7.71,5.92,5.59,5.5
62,TLH,6.1,5.8,8.02,5.76,8.48,6.82,0.76,"866,689.34","622,056.33",2.0,11.63,5.99,5.21,6.56,5.55,5.46
63,IJC,6.1,10.13,14.0,9.84,14.39,12.13,1.16,"3,036,698.36","1,594,835.28",5.97,5.91,3.15,5.3,5.69,5.54,5.44
64,GVR,6.1,14.6,20.15,13.95,20.15,16.01,1.6,"2,693,413.11","1,437,047.31",9.81,14.02,8.1,8.76,6.37,5.52,5.42
65,HCM,6.1,20.57,28.2,20.57,29.05,24.72,1.84,"5,555,777.87","2,521,789.17",6.96,7.29,2.46,4.48,4.27,5.4,5.31
66,HSG,6.1,11.99,16.4,11.99,16.95,15.08,1.06,"15,394,068.03","6,695,307.19",6.57,4.23,0.89,1.21,4.51,5.36,5.27
67,EIN,6.1,3.0,4.1,2.6,4.9,3.05,0.58,"101,535.01","139,762.25",10.81,23.23,14.94,12.06,7.17,5.34,5.25
68,MBS,6.1,13.5,18.4,12.8,19.5,15.88,2.07,"2,921,130.59","1,496,890.00",1.1,2.54,2.88,8.05,6.23,5.3,5.21
69,TVC,6.1,4.7,6.4,4.5,6.8,5.25,0.68,"636,168.24","852,894.68",12.28,12.02,10.06,8.02,5.49,5.28,5.19
70,HPG,6.1,19.25,26.2,19.25,26.6,21.5,1.46,"21,555,548.36","9,431,722.95",21.02,10.52,7.48,5.56,5.81,5.27,5.18
71,EVE,6.1,13.06,17.7,12.68,18.6,14.62,1.95,"379,061.48","454,983.27",2.91,12.43,8.49,8.39,6.35,5.2,5.11
72,HHS,6.1,3.49,4.72,3.34,5.0,4.09,0.44,"1,991,141.80","1,462,159.59",1.53,7.39,5.26,5.59,4.45,5.16,5.07
73,DAG,6.1,3.92,5.29,3.71,6.06,4.41,0.65,"603,133.61","616,962.69",3.52,1.65,10.7,8.55,5.86,5.12,5.04
74,TAR,6.1,11.9,16.0,11.6,16.6,13.82,1.4,"1,648,891.36","829,029.31",1.27,4.68,6.89,6.15,4.73,5.06,4.97
75,CII,6.1,13.8,18.5,12.6,19.05,15.13,1.71,"5,832,960.66","4,318,760.82",3.93,13.74,6.08,8.6,6.5,5.01,4.92
76,PVD,6.1,18.55,24.85,18.4,25.0,21.64,1.72,"4,607,180.33","2,207,824.78",2.69,9.97,5.6,3.21,5.13,4.99,4.91
77,ASM,6.1,8.23,11.0,8.07,11.2,9.03,0.86,"3,874,873.77","2,390,217.90",13.52,13.03,8.85,6.97,4.35,4.95,4.87
78,CTC,6.1,2.1,2.8,1.6,3.6,2.06,0.45,"207,530.40","273,118.15",21.74,32.29,15.87,11.68,8.06,4.91,4.83
79,QTP,6.1,12.84,17.1,12.84,17.9,14.86,1.22,"570,021.45","557,158.60",4.91,7.4,6.53,4.32,4.13,4.89,4.81
80,VNE,6.1,9.19,12.2,9.19,12.65,10.42,1.14,"380,478.69","189,550.98",0.83,8.83,8.32,7.05,4.91,4.84,4.75
81,C4G,6.1,10.4,13.8,10.1,14.0,11.96,1.12,"3,055,266.30","1,640,569.24",2.99,6.79,4.48,5.86,5.43,4.83,4.75
82,LIG,6.1,4.0,5.3,3.6,5.9,4.27,0.62,"1,072,542.77","956,107.45",1.92,18.1,10.77,7.97,6.88,4.8,4.72
83,NDN,6.1,7.1,9.4,6.8,9.9,8.07,1.01,"241,166.02","218,834.22",4.44,1.63,7.34,6.52,6.69,4.79,4.71
84,KMR,6.1,2.88,3.81,2.69,4.54,3.22,0.45,"148,909.02","184,495.65",2.42,15.42,10.42,6.16,4.28,4.77,4.69
85,HAH,6.1,34.5,45.6,31.75,46.7,37.97,3.93,"1,437,935.25","860,024.53",6.42,5.59,7.17,8.75,3.44,4.76,4.68
86,SZC,6.1,27.95,36.85,26.5,37.45,31.29,3.36,"1,062,704.92","516,424.74",4.1,6.56,6.33,8.29,5.65,4.72,4.64
87,TDG,6.1,3.44,4.54,3.27,5.21,3.68,0.52,"155,324.59","184,245.71",0.89,17.29,10.01,6.38,6.01,4.71,4.63
88,NKG,6.1,13.1,17.2,13.1,18.2,15.31,1.17,"9,880,503.28","4,983,567.89",5.85,8.91,3.98,1.04,5.52,4.64,4.57
89,VND,6.1,14.4,18.85,13.4,19.75,15.83,1.74,"23,652,439.34","12,011,354.52",4.43,13.05,5.18,7.34,5.61,4.59,4.51
90,DXS,6.1,6.96,9.05,5.81,9.45,6.98,0.93,"2,150,465.57","1,472,031.76",10.77,19.85,13.62,8.63,4.11,4.47,4.4
91,IDC,6.1,32.63,42.4,32.63,44.2,38.75,2.58,"2,766,139.69","1,315,987.00",2.66,4.81,2.49,3.4,3.68,4.46,4.39
92,NRC,6.1,4.5,5.8,3.7,6.5,4.6,0.72,"1,557,904.35","1,159,689.09",5.45,13.53,14.14,9.06,5.21,4.32,4.25
93,C47,6.1,6.29,8.1,6.08,8.25,6.71,0.56,"198,232.79","167,465.11",4.25,14.84,8.83,7.42,4.55,4.3,4.23
94,SMC,6.1,10.3,13.2,9.34,14.0,10.99,1.5,"474,743.44","343,324.53",1.15,12.93,10.89,6.27,6.8,4.22,4.15
95,PLP,6.1,4.22,5.39,4.1,6.4,4.73,0.54,"180,169.67","216,673.00",0.75,8.72,6.2,5.26,3.18,4.16,4.09
96,PAN,6.1,15.9,20.25,15.3,20.25,17.35,1.23,"1,576,095.90","770,680.79",8.58,5.48,5.29,5.98,5.22,4.11,4.04
97,FCM,6.1,3.74,4.76,3.68,5.2,4.27,0.37,"124,533.61","125,596.78",0.63,9.22,6.87,3.12,2.2,4.1,4.03
98,VGT,6.1,10.02,12.7,9.64,12.79,11.21,0.73,"536,004.69","399,520.44",3.94,7.1,5.6,4.17,2.09,4.03,3.96
99,VIB,6.1,15.51,19.65,15.51,19.95,17.67,1.04,"4,647,052.46","2,798,182.45",1.64,8.18,2.97,4.04,1.81,4.03,3.96
100,STB,6.1,23.5,29.7,23.3,30.3,26.22,1.65,"16,828,975.41","7,825,402.68",5.88,9.1,3.36,4.4,2.9,3.98,3.91
101,KSQ,6.1,1.9,2.4,1.4,2.9,1.9,0.35,"142,257.82","161,145.99",4.35,30.93,10.06,7.46,5.92,3.97,3.9
102,VCG,6.1,16.77,21.05,16.45,21.7,18.62,1.13,"8,434,516.39","4,177,642.73",7.69,9.96,3.64,3.6,3.66,3.86,3.79
103,HUT,6.1,15.5,19.3,13.4,20.1,16.34,1.6,"2,193,667.52","1,399,136.33",5.46,8.48,5.79,6.5,6.33,3.72,3.66
104,SHB,6.1,10.4,12.95,9.78,12.95,11.13,0.91,"20,752,431.97","12,115,414.02",4.86,8.75,4.04,6.76,4.99,3.72,3.66
105,GSP,6.1,9.52,11.85,9.48,11.95,10.68,0.56,"184,635.25","167,017.98",4.87,6.49,2.51,1.88,3.47,3.72,3.65
106,AAT,6.1,5.1,6.34,4.98,7.31,5.46,0.63,"830,073.77","678,694.09",2.09,12.61,8.24,4.98,3.34,3.69,3.63
107,VGC,6.1,35.27,43.65,30.1,45.2,36.04,3.82,"1,165,770.49","922,367.14",8.31,13.88,9.48,7.42,4.74,3.62,3.56
108,TCH,6.1,7.21,8.91,6.93,9.18,7.83,0.72,"5,612,627.05","3,422,277.96",0.68,6.67,5.21,5.77,3.59,3.59,3.53
109,CMX,6.1,8.13,10.0,7.87,10.1,8.84,0.53,"798,193.44","669,266.36",4.71,6.72,4.99,4.46,2.59,3.51,3.45
110,ABS,6.1,5.58,6.84,5.38,7.73,6.1,0.58,"1,345,417.21","1,420,102.83",1.48,9.54,4.46,4.8,2.83,3.45,3.39
111,DDV,6.1,8.71,10.6,8.3,10.6,9.08,0.66,"787,973.87","624,921.26",2.91,12.33,6.81,6.31,3.79,3.34,3.28
112,LTG,6.1,24.9,30.3,24.2,31.7,27.87,1.74,"293,645.20","255,662.22",3.41,4.59,3.28,3.21,2.33,3.33,3.27
113,MIG,6.1,15.03,18.25,13.48,19.0,16.16,1.42,"489,017.21","336,477.22",3.34,2.36,4.9,6.83,4.64,3.28,3.23
114,FUESSVFL,6.1,14.5,17.58,14.5,17.99,15.94,0.85,"154,443.44","251,830.81",2.81,4.82,2.72,4.29,2.68,3.26,3.21
115,POM,6.1,5.7,6.9,4.51,7.5,5.42,0.77,"193,336.89","267,316.91",19.58,22.47,11.93,7.28,4.83,3.24,3.18
116,VCB,6.1,82.6,100.0,82.6,105.0,92.54,4.6,"825,344.26","377,893.47",2.04,5.53,2.82,2.13,1.68,3.24,3.18
117,KBC,6.1,24.7,29.8,21.1,30.3,25.31,2.35,"6,542,700.00","3,578,225.21",6.81,7.27,5.61,8.13,4.95,3.18,3.12
118,PSB,6.1,5.7,6.8,4.9,7.8,5.98,0.62,"103,330.84","714,282.81",3.03,8.28,9.35,6.94,0.91,2.98,2.93
119,CSV,6.1,29.61,35.0,26.02,35.95,29.49,2.35,"309,009.84","218,842.60",7.69,10.55,8.15,7.34,3.95,2.83,2.78
120,VSC,6.1,30.2,35.6,27.45,35.85,29.86,1.84,"427,772.95","722,358.71",19.87,12.06,6.47,4.72,3.66,2.78,2.73
121,HDG,6.1,32.7,38.4,28.0,39.4,32.99,2.99,"1,122,464.75","681,499.01",6.96,7.47,7.05,6.37,3.39,2.71,2.67
122,AAV,6.1,4.7,5.5,3.7,6.9,4.69,0.77,"441,413.48","410,285.24",1.85,14.43,8.55,8.29,3.19,2.65,2.61
123,HAX,6.1,13.21,15.45,12.15,16.15,13.91,0.9,"653,792.62","544,029.00",5.48,3.96,3.28,4.7,2.24,2.65,2.61
124,FRT,6.1,60.92,71.2,52.64,71.6,59.22,4.32,"876,518.85","522,452.79",25.78,13.55,8.28,4.23,1.63,2.63,2.59
125,BFC,6.1,15.9,18.55,14.8,18.55,15.87,0.78,"145,272.13","222,683.22",6.68,6.15,6.29,5.65,3.92,2.6,2.56
126,TCB,6.1,27.45,32.0,26.2,33.3,29.12,1.97,"3,760,945.90","2,070,726.08",0.31,5.59,2.75,4.24,3.15,2.59,2.55
127,CTF,6.1,32.45,37.75,29.45,38.45,35.07,1.77,"621,423.77","240,022.39",7.24,3.12,2.55,2.13,1.88,2.55,2.51
128,ACB,6.1,18.96,22.05,18.92,22.3,20.84,0.68,"5,317,795.08","4,569,064.80",1.38,3.48,1.63,1.88,1.42,2.55,2.51
129,HDC,6.1,24.72,28.7,21.92,30.25,26.3,1.99,"999,416.39","524,048.99",0.49,2.72,2.36,4.1,3.54,2.52,2.48
130,TDP,6.1,29.2,33.9,27.5,34.8,29.13,1.15,"103,979.51","61,250.68",18.66,7.68,6.94,4.05,3.87,2.52,2.48
131,LDG,6.1,4.28,4.95,3.87,5.31,4.44,0.35,"5,477,714.75","4,680,280.35",9.51,9.61,2.77,4.07,3.24,2.45,2.41
132,PHR,6.1,41.0,47.4,38.8,48.0,42.58,2.61,"511,873.77","298,231.72",1.61,7.65,4.83,3.92,2.5,2.45,2.41
133,LCM,6.1,2.6,3.0,2.2,3.5,2.55,0.32,"363,111.01","311,072.89",3.45,16.77,7.72,5.74,3.71,2.41,2.37
134,MBB,6.1,17.56,20.2,16.73,20.7,18.2,0.94,"8,752,304.92","4,548,804.82",4.59,6.97,3.37,4.45,2.45,2.36,2.33
135,PHC,6.1,5.98,6.88,5.6,7.7,6.13,0.49,"136,734.43","170,956.58",10.08,9.1,5.74,4.27,2.1,2.36,2.32
136,DPG,6.1,29.13,33.5,25.54,34.9,30.04,2.42,"845,726.23","437,421.11",3.28,4.73,5.53,5.26,2.26,2.36,2.32
137,SBT,6.1,13.46,15.45,12.27,15.86,14.05,1.02,"2,773,944.26","1,793,168.90",2.07,1.33,4.02,3.87,3.16,2.33,2.29
138,PDR,6.1,14.55,16.7,10.1,17.7,13.62,1.86,"8,847,367.21","5,243,904.64",13.61,11.22,8.29,10.26,5.46,2.32,2.29
139,HID,6.1,3.17,3.63,2.88,4.08,3.18,0.31,"204,962.30","221,980.92",1.11,11.5,7.28,5.32,3.61,2.28,2.25
140,BNA,6.1,11.4,13.0,9.6,14.0,11.24,1.23,"118,431.20","128,186.88",0.78,11.27,9.51,6.51,1.78,2.21,2.18
141,IDI,6.1,11.65,13.25,10.95,13.6,12.07,0.7,"4,136,523.77","2,149,567.64",5.16,7.34,3.5,3.95,1.66,2.17,2.13
142,DST,6.1,4.4,5.0,3.9,5.5,4.4,0.43,"307,795.12","503,113.78",4.17,13.23,7.72,5.09,3.06,2.15,2.12
