,Symbol,Count Year,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Year 1,Year 2,Year 3,Year Full
208,APS,3.0,6.05,6.4,4.2,59.9,15.45,10.4,"1,877,653.81","1,389,841.20",-32.63,-55.0,1.88,1.88
209,PVG,3.0,8.52,9.0,5.34,18.18,10.04,2.49,"298,103.32","401,209.93",25.35,-17.01,1.84,1.84
210,SJD,3.0,14.17,14.95,11.54,17.87,14.45,1.36,"131,572.63","167,607.87",17.45,-4.4,1.8,1.8
211,VNE,3.0,6.16,6.48,5.48,19.0,10.31,2.98,"611,787.45","676,597.15",-33.4,-36.85,1.7,1.7
212,SHA,3.0,4.47,4.65,3.45,8.88,5.31,1.24,"107,865.02","166,242.94",18.02,-22.54,1.31,1.31
213,DC4,3.0,11.07,11.5,5.67,33.29,12.48,5.51,"128,634.71","180,270.27",60.17,-39.09,1.29,1.29
214,HHV,2.96,14.89,15.4,5.86,23.38,14.41,3.5,"4,964,521.47","4,379,238.44",39.09,-16.89,1.12,1.14
215,E1VFVN30,3.0,19.58,20.1,15.2,26.34,21.36,2.95,"816,564.22","792,739.60",9.48,-11.75,0.88,0.88
216,SD9,3.0,8.1,8.3,5.4,20.5,8.98,2.59,"138,114.27","242,336.25",27.69,-19.47,0.82,0.82
217,ABB,3.0,8.33,8.5,5.56,16.6,10.29,2.68,"2,005,419.65","1,688,997.48",10.94,-23.24,0.68,0.68
218,TCD,3.0,7.5,7.6,3.34,24.3,10.51,5.32,"1,127,476.10","1,473,155.34",40.27,-39.9,0.43,0.43
219,TCM,3.0,40.19,40.55,35.73,79.19,49.26,9.45,"606,305.07","373,497.98",-14.26,-8.62,0.3,0.3
220,SD5,3.0,7.47,7.5,5.95,14.74,8.39,1.67,"108,953.11","157,667.32",10.68,-18.4,0.15,0.15
221,MWG,3.0,41.82,41.9,35.1,78.82,53.23,11.65,"3,082,013.75","3,032,017.21",0.6,-20.72,0.06,0.06
222,TKG,2.74,13.29,13.3,5.4,16.0,11.42,2.31,"106,616.26","225,879.54",2.31,16.56,0.02,0.02
223,FIR,3.0,13.65,13.65,11.67,36.5,24.48,7.36,"325,094.79","303,255.19",-58.79,-14.84,-0.0,-0.0
224,PVB,3.0,20.1,20.1,8.9,27.8,17.04,3.53,"269,210.90","224,074.46",59.52,1.53,0.0,0.0
225,BMI,3.0,21.8,21.8,14.83,41.57,25.39,5.97,"442,231.64","397,982.51",1.96,-21.86,-0.0,-0.0
226,HHG,2.97,1.9,1.9,1.1,10.0,3.49,2.04,"683,968.43","687,112.85",26.67,-55.74,0.0,0.0
227,SD6,3.0,3.6,3.6,2.2,11.3,4.66,1.82,"138,303.16","204,959.03",12.5,-35.67,0.0,0.0
228,VSC,3.0,29.6,29.3,21.37,44.12,30.16,4.2,"619,196.53","788,430.26",5.84,-5.12,-0.34,-0.34
229,DAH,3.0,4.4,4.34,2.88,14.75,7.18,3.07,"967,380.37","1,031,944.71",-7.66,-36.75,-0.46,-0.46
230,IVS,3.0,10.4,10.1,3.9,22.0,9.81,3.4,"123,425.47","166,325.92",62.9,-20.8,-0.97,-0.97
231,CTI,3.0,15.47,15.0,10.65,28.85,15.73,3.56,"731,038.58","575,745.70",14.07,-24.69,-1.03,-1.03
232,TCB,3.0,35.75,34.65,20.7,58.0,38.49,9.45,"8,697,178.24","7,168,717.47",24.64,-17.17,-1.04,-1.04
233,DBC,3.0,26.36,25.5,10.55,37.86,24.13,6.43,"3,829,940.45","2,878,680.64",63.99,-13.4,-1.1,-1.1
234,TSC,3.0,3.79,3.66,2.88,20.77,7.63,4.41,"2,962,355.14","2,835,659.21",8.61,-54.65,-1.18,-1.18
235,HDA,3.0,5.03,4.8,4.12,19.83,8.48,4.34,"185,531.19","303,129.78",-12.73,-42.02,-1.55,-1.55
236,MST,3.0,6.62,6.3,3.52,17.61,8.96,4.38,"859,004.70","757,324.94",66.1,-37.75,-1.61,-1.61
237,VCR,3.0,25.3,23.9,17.8,54.6,27.99,8.55,"115,616.00","178,510.98",7.66,-28.61,-1.88,-1.88
238,LHG,3.0,31.9,29.75,13.65,53.96,32.38,9.12,"368,598.53","382,082.30",36.31,-20.21,-2.3,-2.3
239,DRI,3.0,7.78,7.2,4.07,19.22,9.42,3.08,"572,308.42","543,436.48",21.5,-28.6,-2.55,-2.55
240,BCG,3.0,9.38,8.67,4.88,26.18,12.3,5.23,"5,856,843.66","5,047,219.23",30.18,-36.79,-2.58,-2.58
241,OGC,3.0,8.82,8.15,5.0,20.5,8.93,2.92,"1,278,034.18","1,213,540.17",1.88,-11.05,-2.6,-2.6
242,CEN,3.0,6.3,5.8,2.4,34.65,8.61,4.62,"422,853.74","531,677.76",61.11,-24.15,-2.74,-2.74
243,CCL,3.0,7.85,7.18,3.77,16.02,8.49,2.85,"451,159.28","490,059.65",57.04,-24.26,-2.93,-2.93
244,C47,3.0,7.48,6.82,4.93,19.93,9.06,3.66,"259,314.29","222,408.45",9.65,-34.53,-3.02,-3.02
245,KSQ,3.0,2.1,1.9,1.4,10.5,3.75,2.21,"243,171.23","298,362.22",0.0,-51.86,-3.28,-3.28
246,CRE,3.0,9.25,8.26,6.3,25.62,13.23,5.05,"995,477.44","886,127.87",-3.84,-37.37,-3.69,-3.69
247,KSB,3.0,31.73,28.25,12.5,53.0,29.49,7.64,"1,974,386.25","1,048,635.51",22.83,-24.3,-3.8,-3.8
248,ITQ,3.0,3.04,2.7,1.8,11.4,4.88,2.53,"443,795.64","573,318.74",3.85,-45.53,-3.88,-3.88
249,TCO,3.0,10.34,9.01,6.69,32.05,12.83,5.9,"160,996.26","246,114.93",15.51,-30.45,-4.49,-4.49
250,BVB,3.0,12.97,11.2,6.36,22.99,13.04,3.83,"1,393,503.00","1,760,210.59",24.89,-24.05,-4.78,-4.78
251,NBB,3.0,25.31,21.85,11.95,59.7,23.3,9.28,"724,215.89","906,748.98",69.38,-35.05,-4.79,-4.79
252,VGT,3.0,13.74,11.8,6.97,28.31,15.94,4.67,"2,171,869.39","2,509,165.08",14.46,-31.12,-4.94,-4.94
253,MSN,3.0,75.58,64.8,57.8,142.28,94.71,20.62,"1,454,010.01","1,077,318.64",-31.79,-26.45,-5.0,-5.0
254,HHP,2.96,11.81,10.15,7.98,16.44,10.64,1.77,"385,565.92","494,874.09",24.08,-5.87,-4.93,-5.0
255,DCL,3.0,28.75,24.6,22.0,53.0,29.66,7.57,"171,805.74","217,153.50",1.23,-20.17,-5.06,-5.06
256,ASM,3.0,12.49,10.65,6.59,22.99,11.58,3.0,"4,098,315.49","2,464,918.83",21.71,-14.65,-5.17,-5.17
257,ACL,3.0,13.89,11.8,8.15,31.26,14.39,4.29,"158,369.56","173,804.41",6.94,-16.28,-5.3,-5.3
258,OIL,3.0,11.96,10.1,6.08,20.95,12.04,2.86,"1,708,156.15","1,384,134.54",13.19,-24.26,-5.48,-5.48
259,PHR,3.0,57.15,48.1,28.94,76.97,49.7,9.69,"647,116.69","387,826.65",24.99,-16.8,-5.58,-5.58
260,OCH,3.0,8.1,6.8,5.9,16.6,8.58,1.96,"187,787.73","399,817.39",-11.69,-18.35,-5.66,-5.66
261,HAP,2.97,5.57,4.67,3.54,14.57,7.28,3.06,"611,113.59","879,761.77",11.48,-30.53,-5.69,-5.74
262,DHM,3.0,9.65,8.07,7.12,14.25,10.32,1.62,"262,138.72","207,570.18",-12.0,-15.49,-5.79,-5.79
263,PPC,3.0,18.7,15.55,10.42,22.74,16.86,3.17,"239,992.26","263,172.17",19.43,-12.95,-5.97,-5.97
264,DXP,3.0,14.91,12.4,5.48,21.77,12.48,3.32,"221,720.01","247,228.84",61.92,-12.52,-5.97,-5.97
265,BNA,3.0,13.42,11.1,8.69,37.09,18.85,8.66,"211,115.49","201,132.61",-1.77,-38.92,-6.13,-6.13
266,CLX,3.0,16.93,14.0,10.14,35.02,17.78,5.15,"160,885.46","211,098.00",9.86,-27.32,-6.15,-6.15
267,PDR,3.0,33.44,27.6,10.1,72.64,42.11,20.85,"6,609,972.76","7,026,481.76",97.14,-35.53,-6.2,-6.2
268,VRC,3.0,9.76,8.02,5.59,39.0,12.0,6.49,"220,075.97","305,454.74",-0.99,-44.57,-6.34,-6.34
269,TLD,3.0,6.37,5.23,2.38,13.27,5.85,2.43,"547,625.77","617,405.82",75.44,-32.81,-6.37,-6.37
270,POW,3.0,13.97,11.45,9.58,20.15,12.98,1.89,"12,215,360.21","8,104,699.91",-3.38,-17.69,-6.41,-6.41
271,L14,3.0,51.54,42.2,18.3,382.58,97.75,83.41,"282,128.08","309,961.91",-16.44,-64.99,-6.45,-6.45
272,ASP,3.0,6.14,5.01,4.73,15.97,7.4,2.69,"176,855.94","260,083.14",-3.47,-36.65,-6.54,-6.54
273,DQC,3.0,18.37,15.0,12.9,63.33,22.55,8.32,"111,423.10","136,525.14",-10.71,-36.81,-6.54,-6.54
274,SCR,3.0,8.58,6.99,3.86,24.26,10.05,4.27,"6,645,046.06","4,615,052.31",24.6,-42.33,-6.62,-6.62
275,HID,3.0,3.75,3.05,2.04,15.0,5.48,2.79,"579,852.60","682,962.94",-0.97,-50.99,-6.66,-6.66
276,VJC,3.0,130.7,105.3,93.8,149.0,116.35,13.9,"667,718.02","317,171.48",-2.23,-7.1,-6.95,-6.95
277,MCG,2.97,2.73,2.2,1.35,14.55,4.12,2.5,"338,702.11","572,918.72",-28.34,-53.78,-6.94,-7.01
278,VTP,3.0,72.67,57.4,19.0,72.67,48.62,13.94,"430,229.91","397,275.81",129.93,0.46,-7.56,-7.56
279,GIL,3.0,32.35,25.45,15.95,82.69,41.13,16.07,"693,952.20","503,295.30",35.37,-33.81,-7.68,-7.68
280,GEG,3.0,16.36,12.8,9.0,25.28,16.19,3.39,"1,166,001.60","850,044.99",-10.74,-21.43,-7.86,-7.86
281,API,3.0,7.18,5.6,5.4,46.33,15.11,9.62,"497,282.06","802,288.21",-36.36,-54.71,-7.93,-7.93
282,HTN,3.0,19.32,15.05,10.05,54.64,23.77,10.5,"490,861.15","458,418.64",19.44,-39.44,-7.99,-7.99
283,QBS,2.97,2.95,2.3,1.39,9.28,3.61,1.73,"1,292,530.58","1,451,540.67",15.58,-35.04,-7.96,-8.04
284,CII,3.0,23.39,18.1,10.52,56.66,20.22,6.57,"6,436,845.93","4,711,334.97",35.02,-38.59,-8.19,-8.19
285,PFL,3.0,3.4,2.6,2.3,17.1,4.95,2.8,"504,925.70","554,252.64",-13.33,-53.84,-8.55,-8.55
286,KLB,3.0,16.78,12.7,10.5,39.9,19.35,6.72,"105,587.96","207,152.59",4.1,-30.77,-8.87,-8.87
287,TCH,3.0,16.86,12.75,4.77,22.32,11.94,3.67,"7,428,054.87","4,592,696.17",87.31,-17.21,-8.89,-8.89
288,ITA,3.0,8.29,6.27,2.59,18.55,7.66,3.75,"8,930,177.70","7,656,820.26",52.93,-36.6,-8.89,-8.89
289,VCS,3.0,74.16,55.9,32.84,110.41,71.21,19.9,"167,071.49","153,541.05",7.82,-22.9,-8.99,-8.99
290,VTD,3.0,10.24,7.7,6.93,20.79,11.71,2.74,"138,872.47","138,677.96",-25.24,-19.26,-9.06,-9.06
291,HT1,3.0,16.71,12.55,7.22,24.56,15.5,3.61,"1,391,933.24","1,400,052.56",0.64,-23.05,-9.1,-9.1
292,HSV,2.73,11.21,8.5,3.2,29.44,8.42,4.62,"106,839.36","267,483.16",107.32,-18.31,-8.81,-9.64
293,NSH,3.0,6.3,4.6,3.0,20.9,7.93,4.0,"168,837.27","208,647.33",6.98,-40.28,-9.95,-9.95
294,PV2,3.0,3.6,2.6,1.7,10.5,3.92,1.91,"281,967.43","367,013.44",30.0,-43.34,-10.28,-10.28
295,PXI,2.96,3.59,2.6,1.5,9.43,3.75,1.52,"247,854.04","310,957.50",30.0,-46.25,-10.2,-10.33
296,IJC,3.0,19.49,14.05,7.24,28.67,17.17,4.94,"3,640,869.56","2,861,830.10",32.51,-24.4,-10.34,-10.34
297,SDT,3.0,4.58,3.3,2.5,10.7,5.14,1.76,"107,975.30","169,460.56",3.12,-36.24,-10.38,-10.38
298,PHC,3.0,9.67,6.85,4.95,19.34,9.53,3.42,"448,114.95","521,140.70",14.17,-33.77,-10.85,-10.85
299,TNI,3.0,3.8,2.68,2.5,13.7,4.28,1.95,"1,048,202.00","1,619,695.58",-12.13,-42.48,-10.99,-10.99
300,PXL,3.0,12.2,8.5,3.2,23.5,9.76,3.55,"347,729.25","440,588.87",66.67,-32.58,-11.35,-11.35
301,AAA,3.0,13.65,9.5,5.69,22.8,12.48,3.52,"5,092,325.50","3,660,273.95",33.43,-27.85,-11.38,-11.38
302,SBT,3.0,19.41,13.5,9.05,22.81,16.06,2.8,"3,404,155.81","2,291,443.32",8.0,-18.46,-11.4,-11.4
303,FCM,3.0,6.54,4.55,3.0,12.58,5.92,1.99,"252,859.55","386,817.27",23.31,-36.79,-11.41,-11.41
304,MBG,3.0,7.24,5.0,3.4,16.49,7.21,3.09,"1,550,182.91","1,266,320.43",13.64,-39.78,-11.6,-11.6
305,TTF,3.0,6.45,4.45,3.1,17.2,7.19,3.27,"4,699,159.55","3,791,362.49",7.49,-43.52,-11.64,-11.64
306,BVG,3.0,3.2,2.2,1.3,10.2,3.99,1.94,"166,170.66","202,093.03",4.76,-45.1,-11.74,-11.74
307,C32,3.0,24.73,17.0,16.23,33.89,21.96,4.18,"128,576.10","199,121.72",-7.44,-28.4,-11.74,-11.74
308,IDJ,3.0,8.44,5.8,4.4,42.47,13.19,7.94,"1,940,104.42","1,766,511.90",-28.4,-49.52,-11.76,-11.76
309,VNM,3.0,98.59,67.2,58.87,99.28,74.27,7.03,"2,679,134.31","1,417,108.69",-13.21,-5.88,-11.99,-11.99
310,ITC,3.0,15.7,10.7,5.54,24.36,12.35,3.58,"660,056.48","790,705.98",45.38,-25.84,-12.0,-12.0
311,HAR,3.0,6.35,4.31,2.61,15.8,5.72,2.43,"965,914.15","1,187,387.83",13.42,-40.32,-12.12,-12.12
312,PLX,3.0,51.89,34.95,24.22,59.77,42.44,8.16,"1,479,281.98","1,128,160.25",-4.01,-17.29,-12.35,-12.35
313,NAF,3.0,22.7,15.25,6.97,34.0,18.17,7.1,"332,317.09","405,639.87",46.63,-15.98,-12.42,-12.42
314,GVR,3.0,30.75,20.4,9.82,40.28,24.2,7.47,"3,111,779.31","1,891,869.61",42.72,-22.5,-12.78,-12.78
315,TVN,3.0,9.5,6.3,3.52,19.48,9.87,4.28,"737,565.29","845,331.00",25.12,-35.82,-12.8,-12.8
316,BVH,3.0,63.2,41.8,37.98,63.2,48.88,5.15,"963,335.38","678,167.51",-12.44,-8.06,-12.87,-12.87
317,VNB,3.0,13.5,8.9,5.6,30.0,13.81,5.24,"220,075.02","330,193.81",20.27,-31.92,-12.97,-12.97
318,VCG,3.0,36.02,23.65,10.73,44.26,26.56,8.14,"5,757,858.74","5,376,409.79",32.06,-21.7,-13.09,-13.09
319,SAB,3.0,94.36,61.1,55.36,94.87,77.7,8.07,"214,003.20","187,210.75",-31.68,-7.21,-13.48,-13.48
320,VNG,3.0,14.1,9.1,6.32,18.15,11.34,2.57,"103,569.83","104,545.21",-6.09,-19.23,-13.58,-13.58
321,CRC,3.0,9.39,6.05,4.66,13.5,7.85,2.4,"185,271.83","213,173.21",5.77,-26.34,-13.62,-13.62
322,SMC,3.0,15.94,10.1,7.07,45.01,21.29,10.88,"487,910.81","409,792.06",-4.72,-45.28,-14.11,-14.11
323,VRE,3.0,36.6,23.1,22.1,37.8,29.07,3.12,"4,475,169.16","3,035,807.98",-19.23,-17.33,-14.22,-14.22
324,SAM,3.0,10.12,6.37,5.56,26.71,10.44,4.69,"1,169,752.34","1,215,150.82",7.97,-45.63,-14.3,-14.3
325,AFX,3.0,13.7,8.6,8.6,18.2,12.88,2.28,"166,075.37","230,343.94",-25.86,-24.78,-14.38,-14.38
326,LGL,3.0,6.4,4.0,2.0,15.15,6.05,2.62,"299,044.33","416,819.60",13.96,-43.43,-14.5,-14.5
327,SJF,3.0,2.9,1.79,1.79,24.1,5.91,4.17,"1,478,681.17","1,936,281.32",-45.92,-60.46,-14.86,-14.86
328,EVG,3.0,8.48,5.21,3.1,18.5,7.53,3.25,"1,425,185.45","1,626,044.37",57.88,-41.34,-14.99,-14.99
329,ROS,1.62,3.28,2.51,2.15,16.0,5.82,2.51,"18,675,824.63","16,656,925.29",-60.78,-12.52,,-15.22
330,PTL,3.0,6.63,4.02,2.93,18.9,6.41,3.35,"412,871.56","726,613.11",21.82,-46.22,-15.36,-15.36
331,S99,3.0,14.46,8.7,5.36,29.0,12.53,5.01,"658,784.70","711,500.45",18.25,-30.94,-15.58,-15.58
332,VGI,3.0,43.6,26.0,17.5,47.5,29.3,6.21,"735,706.07","510,782.29",16.07,-9.44,-15.83,-15.83
333,VHE,3.0,5.1,3.0,2.3,13.1,6.07,2.98,"330,765.70","322,420.94",0.0,-47.05,-16.21,-16.21
334,PVM,3.0,23.36,13.7,7.62,26.22,15.29,3.69,"163,921.11","873,907.49",37.0,-15.07,-16.29,-16.29
335,PAN,2.97,35.02,20.65,12.9,41.55,24.06,6.26,"2,185,555.62","1,953,283.53",25.53,-18.78,-16.14,-16.29
336,NDN,3.0,17.03,9.8,5.8,23.39,12.8,4.27,"868,286.57","1,266,817.30",44.12,-19.71,-16.82,-16.82
337,MSR,3.0,24.8,14.2,8.2,33.5,19.11,5.47,"553,754.99","541,091.89",19.33,-26.66,-16.96,-16.96
338,TVC,3.0,10.61,6.0,3.6,28.1,10.46,5.85,"1,390,081.12","1,552,868.65",27.66,-45.9,-17.31,-17.31
339,VHM,3.0,73.4,41.3,38.45,88.43,62.75,13.95,"4,432,615.49","3,275,884.37",-20.58,-28.09,-17.44,-17.44
340,TDC,3.0,17.49,9.76,7.18,32.19,16.06,5.56,"931,745.13","739,742.20",-10.46,-40.43,-17.68,-17.68
341,HVH,3.0,9.57,5.34,3.6,13.14,7.31,2.16,"384,195.99","463,694.49",14.72,-28.99,-17.69,-17.69
342,TVB,2.97,9.64,5.37,3.1,28.36,10.25,6.48,"758,032.60","821,421.80",36.64,-45.43,-17.73,-17.89
343,CMX,3.0,15.29,8.46,5.2,24.0,12.25,3.63,"1,039,422.96","935,706.38",2.05,-27.49,-17.9,-17.9
344,PXS,2.96,8.13,4.5,2.5,14.7,6.45,2.33,"539,752.44","491,672.29",18.42,-39.76,-17.89,-18.11
345,SDD,3.0,3.5,1.9,1.9,9.6,3.91,1.83,"249,519.14","453,360.32",-24.0,-49.33,-18.42,-18.42
346,TIP,3.0,41.76,22.6,11.42,50.84,27.47,9.09,"173,000.40","144,786.90",41.08,-28.15,-18.5,-18.5
347,JVC,3.0,6.15,3.31,2.31,13.45,5.22,2.26,"1,823,055.14","2,257,843.50",9.6,-43.03,-18.66,-18.66
348,AAT,2.82,9.51,5.3,4.32,18.74,9.6,4.47,"801,906.10","641,981.30",9.35,-34.22,-17.71,-18.72
349,LIG,3.0,7.91,4.2,2.7,19.82,7.38,3.93,"1,038,000.24","914,058.56",10.53,-47.51,-19.02,-19.02
350,NED,3.0,9.23,4.9,3.8,14.7,7.74,2.4,"563,345.73","909,992.56",-14.04,-36.88,-19.03,-19.03
351,DRH,3.0,9.36,4.9,2.71,28.5,9.27,5.12,"2,446,570.49","1,941,750.61",-10.75,-55.45,-19.4,-19.4
352,HBC,3.0,14.92,7.78,6.54,31.8,14.24,5.92,"4,850,094.53","3,449,900.03",-11.89,-45.91,-19.51,-19.51
353,HVN,3.0,24.36,12.5,8.61,28.65,17.71,5.43,"1,445,744.06","1,406,240.54",-14.38,-25.71,-19.94,-19.94
354,TDH,3.0,8.84,4.49,2.47,15.05,6.82,3.15,"962,795.99","1,754,532.66",66.3,-38.7,-20.21,-20.21
355,C69,3.0,13.5,6.8,5.21,21.23,10.47,3.76,"287,252.33","319,811.50",19.44,-34.25,-20.43,-20.43
356,D2D,3.0,51.62,26.0,16.91,59.22,36.66,11.61,"144,276.10","156,096.59",29.33,-31.95,-20.43,-20.43
357,TDT,3.0,14.44,7.1,5.66,14.44,8.54,1.65,"190,131.45","258,978.35",-5.07,-20.66,-21.07,-21.07
358,PSH,3.0,17.74,8.58,3.88,30.3,14.46,6.29,"1,019,179.04","973,694.62",75.82,-35.53,-21.51,-21.51
359,DAG,3.0,6.7,3.23,2.97,18.1,6.4,3.23,"645,158.34","662,643.31",-15.0,-50.25,-21.57,-21.57
360,TTA,3.0,16.39,7.87,7.52,16.89,10.66,2.15,"822,438.99","735,363.07",-11.83,-24.25,-21.7,-21.7
361,TNA,3.0,11.71,5.6,5.23,20.65,9.55,3.41,"250,978.50","280,041.65",-8.05,-45.13,-21.8,-21.8
362,G36,3.0,16.17,7.7,3.3,26.5,10.88,4.55,"932,748.90","878,687.71",11.59,-42.51,-21.91,-21.91
363,BCA,2.36,11.0,6.0,4.2,18.9,7.77,3.37,"117,550.43","117,186.51",25.0,-26.15,,-22.65
364,BCE,3.0,12.23,5.66,4.83,22.85,10.04,4.32,"252,819.36","336,695.67",-0.35,-45.49,-22.65,-22.65
365,VLC,3.0,34.29,15.7,11.88,37.42,21.69,6.91,"112,937.68","119,155.93",12.23,-26.75,-22.92,-22.92
366,AGM,3.0,13.9,6.28,5.27,62.0,20.89,14.47,"163,469.69","314,288.51",-15.7,-56.38,-23.27,-23.27
367,VIC,3.0,98.13,43.0,40.4,128.0,73.82,21.76,"3,206,084.65","3,764,770.57",-21.82,-34.03,-24.05,-24.05
368,TAR,3.0,20.76,9.0,8.1,40.57,19.34,7.8,"1,201,030.28","1,058,509.28",-25.0,-50.7,-24.31,-24.31
369,PLP,3.0,9.62,4.16,3.44,18.6,8.31,3.93,"464,212.68","483,786.16",1.46,-46.32,-24.39,-24.39
370,PAS,3.0,10.24,4.1,3.8,25.2,11.37,6.9,"1,039,873.18","847,561.19",-10.87,-55.17,-26.29,-26.29
371,YEG,3.0,26.89,10.75,4.01,26.89,10.87,4.62,"274,849.80","339,523.34",114.27,-9.99,-26.33,-26.33
372,NVL,3.0,41.83,16.3,10.25,92.37,51.68,30.46,"12,590,403.34","17,086,515.26",13.99,-55.82,-26.96,-26.96
373,VAB,2.5,15.64,7.1,5.9,18.87,10.13,3.14,"496,038.33","514,839.10",-15.48,-32.63,,-27.09
374,KPF,3.0,13.01,5.0,4.59,22.6,11.31,3.49,"264,003.60","379,008.95",-58.33,-46.01,-27.3,-27.3
375,NHH,3.0,50.28,19.0,10.33,62.83,23.76,12.46,"383,836.45","337,780.83",42.96,-13.86,-27.7,-27.7
376,TIS,3.0,10.9,4.1,3.0,17.0,8.32,3.59,"130,291.03","280,214.94",-16.33,-42.5,-27.81,-27.81
377,CTC,3.0,3.5,1.3,1.3,11.8,4.23,2.52,"247,793.94","345,932.63",-31.58,-61.34,-28.12,-28.12
378,POM,3.0,14.1,5.22,3.48,20.25,10.14,4.99,"398,525.10","610,156.08",-3.51,-39.26,-28.2,-28.2
379,HII,3.0,14.35,5.27,3.94,17.73,9.44,4.5,"384,325.37","370,063.54",28.85,-39.75,-28.38,-28.38
380,KHG,2.49,14.03,6.1,4.05,16.91,8.58,3.43,"3,429,818.17","2,894,822.00",-13.84,-34.06,,-28.43
381,BKG,3.0,12.18,4.45,3.25,12.86,7.02,2.86,"377,788.12","537,078.27",22.93,-34.47,-28.51,-28.51
382,LDG,3.0,7.99,2.86,2.86,25.52,7.83,4.6,"6,349,776.23","5,443,438.96",-30.24,-63.92,-29.0,-29.0
383,DXS,2.5,18.1,7.38,3.43,25.46,12.01,6.42,"1,533,054.13","1,577,510.40",-14.22,-36.14,,-30.15
384,NRC,3.0,13.87,4.7,3.7,31.86,13.53,7.63,"858,925.99","1,345,630.59",2.17,-52.35,-30.29,-30.29
385,AAV,3.0,10.94,3.7,2.8,31.11,11.32,7.56,"521,427.69","492,465.11",-15.91,-56.84,-30.33,-30.33
386,SCI,3.0,35.51,12.0,6.5,58.3,22.8,13.64,"174,061.25","189,048.51",30.43,-39.42,-30.35,-30.35
387,SRA,3.0,10.4,3.5,2.7,12.8,6.75,2.9,"465,111.09","447,458.78",9.38,-43.07,-30.44,-30.44
388,GTN,1.13,29.1,19.1,15.65,29.9,20.07,2.8,"1,000,465.96","794,777.05",-34.36,,,-31.11
389,HNG,3.0,15.55,4.9,3.35,15.75,6.9,2.98,"7,754,576.10","6,582,255.12",12.64,-33.86,-31.95,-31.95
390,FTM,2.96,1.91,0.6,0.5,9.1,2.69,1.84,"563,264.03","645,901.07",-62.5,-73.4,-32.02,-32.37
391,DDG,3.0,18.9,5.7,5.6,43.3,26.13,12.85,"605,412.65","1,193,497.73",-85.75,-59.06,-32.94,-32.94
392,AMV,3.0,12.73,3.8,2.7,14.74,7.69,3.37,"1,676,329.34","1,434,059.72",8.57,-43.65,-33.17,-33.17
393,THD,3.0,124.8,35.4,34.7,277.0,110.79,81.45,"294,639.53","399,594.80",-13.45,-62.47,-34.3,-34.3
394,CVN,3.0,11.7,3.2,2.5,14.6,6.69,3.17,"257,693.97","316,746.98",3.23,-45.06,-35.09,-35.09
395,TTB,2.98,6.8,1.83,1.83,13.3,5.33,3.1,"939,317.47","1,111,096.33",-56.43,-62.77,-35.44,-35.63
396,ABS,3.0,23.48,6.05,4.97,70.07,16.18,11.99,"988,310.81","1,084,967.25",9.4,-51.36,-36.37,-36.37
397,FIT,3.0,17.91,4.5,3.04,19.77,8.52,4.02,"4,499,123.23","4,440,381.29",18.42,-38.76,-36.9,-36.9
398,DVG,3.0,15.8,3.1,2.4,25.8,9.26,6.34,"373,673.28","545,693.53",3.33,-60.63,-41.89,-41.89
399,HPX,3.0,29.35,5.46,3.84,40.0,20.39,12.4,"2,847,856.88","8,676,797.01",9.64,-59.32,-42.91,-42.91
400,SVD,2.94,13.34,2.5,2.26,16.45,6.24,3.37,"135,391.98","188,725.78",-19.87,-45.76,-42.77,-43.41
401,APH,3.0,42.59,7.6,5.55,58.64,20.68,14.15,"2,396,981.98","2,235,750.97",7.04,-47.1,-43.7,-43.7
402,VKC,2.97,6.2,1.0,0.8,28.0,5.64,4.88,"248,383.62","333,635.18",-37.5,-71.49,-45.57,-45.9
403,DL1,3.0,29.11,4.2,2.3,29.11,7.75,4.68,"1,076,374.39","1,482,038.84",35.48,-41.14,-47.55,-47.55
404,BII,2.96,5.3,0.7,0.6,31.0,6.3,5.59,"1,495,394.13","1,541,672.38",-66.67,-76.97,-49.07,-49.54
405,DGT,3.0,45.0,5.2,4.8,46.3,18.91,12.23,"246,486.42","453,342.34",-30.67,-63.49,-51.29,-51.29
406,IBC,2.97,22.0,1.7,1.7,25.6,14.12,8.99,"571,702.96","1,122,053.97",-52.78,-70.62,-57.41,-57.77
407,BOT,3.0,54.9,2.9,2.2,60.0,19.4,20.99,"415,539.17","539,430.01",-6.45,-52.95,-62.48,-62.48
