,Symbol,Count Day,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day Full
168,MBS,7.0,20.0,20.3,19.4,21.3,20.19,0.7,"1,733,135.14","582,161.06",0.0,-1.21,-1.59,0.25,0.91,0.76,0.21,0.21
169,ITA,7.0,7.34,7.45,7.34,7.51,7.42,0.07,"7,687,085.71","3,420,394.99",0.0,0.0,-0.27,0.3,-0.03,0.25,0.21,0.21
170,FUEVN100,7.0,15.62,15.84,15.59,15.95,15.75,0.15,"102,457.14","100,292.62",0.0,-0.28,-0.23,0.4,0.25,0.17,0.2,0.2
171,SSB,7.0,31.5,31.95,31.45,32.0,31.79,0.23,"1,538,942.86","194,906.23",0.0,-0.08,-0.05,0.08,0.09,0.26,0.2,0.2
172,VOS,7.0,17.55,17.8,17.55,18.3,17.98,0.31,"1,617,657.14","469,314.48",0.0,-1.38,-0.92,-0.69,0.0,0.0,0.2,0.2
173,LDG,7.0,9.7,9.83,9.5,10.15,9.78,0.23,"3,375,685.71","1,623,256.11",0.0,-0.85,-1.06,0.86,0.58,0.14,0.19,0.19
174,CII,7.0,19.15,19.4,19.15,19.6,19.41,0.19,"4,657,857.14","1,479,903.05",0.0,-0.13,-0.34,0.32,-0.2,-0.09,0.19,0.19
175,VPI,7.0,62.4,63.2,62.4,64.0,63.17,0.53,"1,056,657.14","197,365.96",0.0,-0.24,-0.42,0.12,-0.06,0.11,0.18,0.18
176,NED,7.0,7.9,8.0,7.9,8.4,8.06,0.18,"301,972.86","164,254.29",0.0,0.0,-0.82,-1.21,0.0,0.21,0.18,0.18
177,DTD,7.0,23.7,24.0,23.4,24.0,23.76,0.25,"164,602.00","40,093.07",0.0,0.0,0.0,0.53,0.51,0.21,0.18,0.18
178,ACB,7.0,24.05,24.35,23.9,24.65,24.16,0.28,"2,485,057.14","995,532.56",0.0,-0.61,0.07,0.47,0.37,0.24,0.18,0.18
179,DGC,7.0,97.0,98.2,93.0,100.5,97.43,2.55,"1,996,685.71","593,659.94",0.0,-1.15,-0.6,0.18,1.09,0.41,0.18,0.18
180,PLC,7.0,24.3,24.6,24.3,25.9,25.24,0.63,"223,599.43","84,543.98",0.0,-1.39,-1.58,-1.18,-1.02,-0.27,0.18,0.18
181,GVR,7.0,23.2,23.5,23.15,23.8,23.39,0.27,"1,695,314.29","375,806.50",0.0,-0.42,-0.42,0.32,0.26,0.25,0.18,0.18
182,DXG,7.0,21.75,22.0,20.9,22.3,21.71,0.46,"8,632,671.43","1,880,516.41",0.0,-0.67,0.46,1.29,0.55,0.04,0.16,0.16
183,KOS,7.0,35.3,35.7,35.3,35.8,35.53,0.2,"246,628.57","101,629.19",0.0,-0.14,0.0,0.21,0.17,0.14,0.16,0.16
184,HCD,7.0,8.9,9.0,8.9,9.32,9.02,0.14,"538,314.29","178,975.89",0.0,0.11,-1.16,-0.22,0.04,0.19,0.16,0.16
185,E1VFVN30,7.0,20.69,20.89,20.5,20.89,20.67,0.14,"1,078,742.86","649,931.98",0.0,0.24,0.31,0.47,0.36,0.21,0.14,0.14
186,SSH,7.0,80.0,80.8,80.0,81.2,80.4,0.44,"449,742.86","40,052.42",0.0,0.31,0.21,0.19,-0.1,0.17,0.14,0.14
187,HVH,7.0,6.65,6.71,6.49,6.71,6.61,0.09,"161,385.71","68,399.16",0.0,0.07,0.91,0.84,0.55,0.05,0.13,0.13
188,HVN,7.0,16.45,16.6,16.4,16.6,16.47,0.09,"976,642.86","257,309.36",0.0,0.45,0.0,0.3,0.24,0.2,0.13,0.13
189,TCM,7.0,44.5,44.9,43.3,45.4,44.07,0.85,"590,328.57","358,895.66",0.0,-0.55,0.98,0.91,0.64,0.61,0.13,0.13
190,ABS,7.0,11.75,11.85,11.7,12.1,11.83,0.13,"319,114.29","109,334.08",0.0,0.21,-0.69,0.21,0.0,0.21,0.12,0.12
191,FLC,7.0,5.75,5.8,5.75,5.98,5.81,0.08,"4,420,814.29","2,150,642.15",0.0,-0.51,-1.01,0.0,0.17,0.14,0.12,0.12
192,NRC,7.0,14.1,14.2,14.0,15.0,14.44,0.36,"219,534.71","37,442.61",0.0,-1.38,-1.81,-0.69,-0.55,0.24,0.1,0.1
193,FRT,7.0,76.0,76.5,70.6,79.0,74.77,2.82,"1,447,314.29","541,919.78",0.0,-1.59,0.44,2.03,1.08,0.71,0.09,0.09
194,ELC,7.0,16.4,16.5,16.3,16.85,16.51,0.23,"178,285.71","129,773.44",0.0,-0.9,-0.7,0.23,0.18,0.2,0.09,0.09
195,DDV,7.0,17.9,18.0,17.8,19.2,18.34,0.51,"718,225.14","146,175.27",0.0,-1.89,-2.13,-0.82,-0.22,0.19,0.08,0.08
196,HSG,7.0,18.0,18.1,17.45,18.3,17.97,0.29,"7,016,371.43","2,528,726.20",0.0,-0.55,0.18,0.92,0.39,-0.09,0.08,0.08
197,SHS,7.0,12.54,12.6,11.98,12.6,12.33,0.21,"13,446,032.43","3,465,163.90",0.0,1.21,0.59,1.27,0.48,0.51,0.07,0.07
198,VNE,7.0,11.75,11.8,11.35,12.1,11.79,0.26,"455,114.29","634,584.37",0.0,-1.25,-0.83,0.98,0.17,0.14,0.06,0.06
199,NAF,7.0,11.85,11.9,11.85,12.3,12.07,0.19,"156,942.86","87,352.08",0.0,-0.42,-1.1,-0.62,-0.66,-0.07,0.06,0.06
200,TLG,7.0,49.0,49.2,49.0,51.0,50.37,0.89,"144,971.43","106,387.07",0.0,-1.3,-1.19,-0.89,-0.68,-0.6,0.06,0.06
201,HDB,7.0,23.7,23.8,23.4,24.05,23.7,0.22,"1,357,014.29","497,677.49",0.0,-0.52,-0.07,0.42,0.25,0.14,0.06,0.06
202,GIL,7.0,53.0,53.2,51.9,53.8,52.74,0.77,"253,942.86","171,804.93",0.0,-0.09,-0.37,0.57,0.5,0.38,0.05,0.05
203,POW,7.0,13.1,13.15,13.0,13.5,13.24,0.2,"10,173,228.57","2,302,187.98",0.0,-0.75,-0.87,-0.56,0.08,0.19,0.05,0.05
204,VPB,7.0,28.05,28.15,28.0,28.25,28.14,0.09,"8,360,800.00","1,364,928.55",0.0,-0.09,0.0,0.13,0.0,-0.06,0.05,0.05
205,IJC,7.0,19.55,19.6,19.15,19.8,19.54,0.22,"1,149,900.00","309,385.78",0.0,-0.38,-0.34,0.58,0.05,0.21,0.04,0.04
206,CMX,7.0,16.0,16.05,15.8,16.6,16.21,0.28,"1,018,185.71","427,436.30",0.0,-0.62,-1.12,-0.39,-0.55,0.26,0.04,0.04
207,MCG,7.0,4.0,4.01,3.93,4.1,4.02,0.06,"175,585.71","81,117.78",0.0,-1.1,-0.49,0.51,0.15,-0.25,0.04,0.04
208,VSC,7.0,37.5,37.6,37.2,39.1,37.8,0.68,"224,128.57","82,230.50",0.0,-0.92,-1.3,-0.07,0.21,0.18,0.04,0.04
209,HT1,7.0,16.0,16.05,16.0,16.3,16.15,0.13,"703,585.71","245,375.53",0.0,-0.77,-0.51,-0.23,-0.19,0.05,0.04,0.04
210,NVL,7.0,73.7,73.9,73.6,74.2,73.79,0.23,"1,507,142.86","386,343.30",0.0,-0.2,0.0,0.1,0.08,0.07,0.04,0.04
211,MBB,7.0,25.5,25.55,25.2,25.6,25.46,0.13,"6,700,314.29","1,048,462.78",0.0,-0.1,0.0,0.35,0.12,0.07,0.03,0.03
212,DBC,7.0,26.35,26.4,25.45,27.7,26.74,0.76,"5,829,728.57","1,668,923.87",0.0,1.85,-0.68,-0.97,-0.96,-0.31,0.03,0.03
213,EIB,7.0,30.75,30.8,30.65,30.95,30.76,0.1,"161,142.86","45,673.80",0.0,0.16,0.05,0.08,0.1,-0.08,0.02,0.02
214,VCB,7.0,72.4,72.5,71.3,72.5,72.21,0.44,"692,785.71","313,859.84",0.0,0.0,0.0,0.42,0.14,0.05,0.02,0.02
215,BVB,7.0,13.9,13.9,13.6,14.0,13.87,0.13,"799,507.71","606,664.92",0.0,-0.36,0.0,0.0,0.0,0.36,0.0,0.0
216,AMV,7.0,8.3,8.3,8.3,8.5,8.36,0.1,"2,050,493.00","2,427,398.62",0.0,-1.18,-0.79,0.0,0.0,0.0,0.0,0.0
217,FID,7.0,3.3,3.3,3.2,3.4,3.3,0.06,"151,814.86","54,578.84",0.0,0.0,-0.99,0.0,0.0,0.51,0.0,0.0
218,DRC,7.0,27.6,27.6,27.6,28.1,27.86,0.2,"344,771.43","130,316.32",0.0,-0.72,-0.48,-0.31,-0.36,-0.12,0.0,0.0
219,BII,7.0,4.3,4.3,4.2,4.3,4.29,0.04,"682,742.29","108,823.22",0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0
220,FIT,7.0,7.0,7.0,6.98,7.2,7.06,0.08,"1,428,785.71","371,973.22",0.0,-0.85,-0.93,-0.18,-0.23,0.05,0.0,0.0
221,MIG,7.0,23.8,23.8,23.1,24.8,23.85,0.6,"1,192,485.71","504,560.92",0.0,-1.24,-1.36,0.0,0.47,0.5,0.0,0.0
222,VHG,7.0,3.9,3.9,3.9,4.1,3.99,0.07,"2,622,094.29","1,570,842.82",0.0,-1.26,-1.65,-0.63,-0.51,-0.42,0.0,0.0
223,VKC,7.0,4.3,4.3,4.2,4.4,4.31,0.07,"252,896.43","124,805.90",0.0,-1.14,-0.76,0.0,0.47,0.0,0.0,0.0
224,PFL,7.0,4.6,4.6,4.5,4.7,4.6,0.06,"176,116.14","47,533.13",0.0,0.0,-0.71,0.0,0.0,0.37,0.0,0.0
225,TTH,7.0,3.3,3.3,3.2,3.4,3.29,0.07,"241,940.57","191,520.67",0.0,0.0,-0.99,0.0,0.62,0.51,0.0,0.0
226,HPG,7.0,22.2,22.2,22.15,23.2,22.49,0.38,"21,857,442.86","11,853,175.30",0.0,-1.11,-0.22,0.06,-0.36,-0.73,0.0,0.0
227,KVC,7.0,3.3,3.3,3.3,3.5,3.36,0.08,"292,269.29","139,464.78",0.0,-1.48,-1.94,-0.74,0.0,0.0,0.0,0.0
228,CDO,7.0,3.4,3.4,3.4,3.5,3.44,0.05,"292,634.86","170,939.25",0.0,0.0,-0.96,-0.72,0.0,-0.48,0.0,0.0
229,IPA,7.0,20.7,20.7,20.7,21.8,21.11,0.41,"411,492.29","246,098.89",0.0,-0.72,-0.79,-0.24,-0.76,-0.86,0.0,0.0
230,DHM,7.0,10.0,9.99,9.99,10.0,9.99,0.0,"310,900.00","233,796.96",0.0,0.0,0.0,0.0,0.0,-0.02,-0.01,-0.01
231,NTL,7.0,26.5,26.45,26.3,27.1,26.71,0.3,"300,542.86","137,170.78",0.0,-0.84,-0.81,-0.28,-0.37,0.09,-0.03,-0.03
232,GEG,7.0,21.15,21.1,21.1,21.85,21.46,0.32,"1,329,028.57","408,210.50",0.0,-0.35,-1.16,-0.81,-0.28,-0.47,-0.03,-0.03
233,VRE,7.0,26.05,26.0,26.0,26.3,26.09,0.11,"1,199,857.14","456,647.42",0.0,-0.57,-0.06,0.0,-0.04,-0.13,-0.03,-0.03
234,HTP,7.0,36.9,36.8,36.0,37.4,36.86,0.42,"101,243.57","62,408.71",0.0,-0.27,0.74,-0.14,-0.32,-0.05,-0.04,-0.04
235,CTG,7.0,27.0,26.9,26.55,27.5,26.99,0.28,"4,408,585.71","1,464,352.22",0.0,-1.1,-0.19,0.33,0.0,-0.06,-0.05,-0.05
236,HUT,7.0,28.6,28.5,27.2,29.7,28.44,0.78,"3,968,084.43","1,515,098.64",0.0,-0.69,-1.37,0.26,0.94,0.3,-0.05,-0.05
237,PVS,7.0,23.7,23.6,23.2,23.9,23.57,0.27,"5,812,618.14","1,134,794.79",0.0,-0.21,-0.42,-0.11,0.34,0.29,-0.06,-0.06
238,HCM,7.0,24.75,24.65,24.2,26.0,24.93,0.58,"8,150,171.43","1,766,860.02",0.0,-1.29,-1.76,-0.35,0.04,0.31,-0.06,-0.06
239,LCG,7.0,11.5,11.45,11.3,11.7,11.51,0.13,"3,923,942.86","1,362,764.78",0.0,-0.22,-0.58,0.0,-0.43,0.22,-0.06,-0.06
240,HAG,7.0,10.9,10.85,10.85,11.7,11.16,0.37,"23,821,514.29","12,280,852.24",0.0,-1.13,0.0,-1.76,-1.5,-0.3,-0.07,-0.07
241,TGG,7.0,5.81,5.78,5.73,5.91,5.84,0.07,"649,328.57","186,035.37",0.0,0.44,-0.74,-0.55,-0.17,-0.34,-0.07,-0.07
242,ACL,7.0,20.6,20.5,20.5,21.35,20.9,0.31,"170,357.14","47,811.01",0.0,-1.2,-1.35,-0.6,-0.62,-0.16,-0.07,-0.07
243,HAX,7.0,18.95,18.85,18.01,18.99,18.64,0.37,"790,600.00","326,492.65",0.0,0.13,0.43,1.14,0.63,-0.12,-0.07,-0.07
244,PVD,7.0,17.1,17.0,16.9,17.3,17.09,0.13,"4,715,285.71","1,035,423.31",0.0,-0.15,-0.58,-0.29,-0.06,0.1,-0.08,-0.08
245,VNM,7.0,72.4,72.0,71.6,73.2,72.39,0.64,"1,242,100.00","350,735.11",0.0,-0.82,-0.46,-0.28,0.08,0.09,-0.08,-0.08
246,DRH,7.0,9.05,9.0,8.81,9.1,9.0,0.11,"1,393,957.14","294,542.61",0.0,-0.39,-0.37,0.53,0.22,-0.15,-0.08,-0.08
247,ANV,7.0,45.3,45.05,45.05,48.5,46.19,1.2,"1,158,742.86","469,178.48",0.0,-0.71,-2.43,-0.84,-0.72,-0.15,-0.08,-0.08
248,DDG,7.0,39.7,39.4,39.4,39.7,39.47,0.13,"168,000.00","36,981.62",0.0,0.0,0.0,-0.13,0.0,0.0,-0.11,-0.11
249,QCG,7.0,7.88,7.82,7.82,8.15,7.93,0.12,"162,071.43","33,301.39",0.0,-1.13,-1.37,-0.57,-0.08,0.0,-0.11,-0.11
250,VJC,7.0,126.7,125.6,124.2,126.7,125.31,0.89,"443,057.14","71,300.53",0.0,-0.16,0.03,0.22,0.22,0.12,-0.12,-0.12
251,PNJ,7.0,115.5,114.5,110.5,115.5,113.59,1.54,"560,200.00","196,397.90",0.0,0.22,0.26,0.89,0.18,0.15,-0.12,-0.12
252,KDH,7.0,36.8,36.5,36.0,36.95,36.5,0.34,"864,071.43","381,166.57",0.0,-0.61,-0.18,0.35,0.17,0.07,-0.12,-0.12
253,OCB,7.0,17.75,17.6,17.25,17.75,17.49,0.16,"975,457.14","199,587.82",0.0,0.43,0.19,0.5,0.23,0.14,-0.12,-0.12
254,NLG,7.0,38.0,37.65,37.0,38.2,37.79,0.41,"1,502,571.43","532,729.64",0.0,-0.72,-0.13,0.44,-0.05,-0.22,-0.13,-0.13
255,VEA,7.0,43.8,43.4,43.2,43.8,43.47,0.18,"113,821.00","143,021.02",0.0,-0.12,0.0,-0.06,0.09,-0.04,-0.13,-0.13
256,CEN,7.0,10.2,10.1,10.1,10.3,10.2,0.08,"329,716.00","215,952.97",0.0,0.0,-0.65,-0.25,-0.39,-0.16,-0.14,-0.14
257,TEG,7.0,9.1,9.01,9.0,9.29,9.12,0.11,"519,157.14","10,692.97",0.0,-1.52,-0.87,0.03,-0.33,-0.07,-0.14,-0.14
258,IBC,7.0,19.75,19.55,19.55,19.75,19.71,0.07,"199,042.86","68,532.86",0.0,-0.38,-0.34,-0.25,-0.2,-0.17,-0.15,-0.15
259,TDM,7.0,39.5,39.1,39.1,39.9,39.59,0.34,"125,728.57","85,886.96",0.0,-0.63,-0.67,-0.51,-0.4,-0.04,-0.15,-0.15
260,PAS,7.0,8.9,8.8,8.8,9.2,9.04,0.15,"1,434,889.00","470,569.54",0.0,-1.12,-1.11,-1.11,-0.89,-0.56,-0.16,-0.16
261,DPM,7.0,46.52,46.0,46.0,48.5,46.99,0.91,"3,259,885.71","852,047.05",0.0,-2.11,-1.75,-0.38,-0.34,-0.15,-0.16,-0.16
262,PDR,7.0,52.8,52.2,52.2,53.1,52.86,0.32,"1,429,257.14","241,955.03",0.0,-0.66,-0.57,-0.43,-0.34,-0.19,-0.16,-0.16
263,TVC,7.0,8.4,8.3,8.3,8.5,8.41,0.09,"1,413,071.71","604,217.50",0.0,-0.6,-0.79,0.0,-0.48,-0.4,-0.17,-0.17
264,DVG,7.0,8.3,8.2,8.1,8.3,8.21,0.07,"447,365.00","552,088.50",0.0,0.0,-0.4,0.31,0.0,0.0,-0.17,-0.17
265,HAI,7.0,2.6,2.57,2.57,2.64,2.59,0.03,"775,614.29","230,040.92",0.0,-0.19,-0.89,-0.39,0.0,-0.06,-0.17,-0.17
266,TVN,7.0,8.4,8.3,8.2,8.5,8.36,0.1,"189,404.29","92,313.34",0.0,-0.6,0.0,0.3,-0.24,-0.4,-0.17,-0.17
267,STB,7.0,23.3,23.0,22.55,23.3,22.99,0.23,"13,797,485.71","2,724,971.72",0.0,-0.22,-0.07,0.05,0.4,0.0,-0.18,-0.18
268,NKG,7.0,19.5,19.25,18.7,19.9,19.34,0.36,"8,734,400.00","2,549,759.17",0.0,-0.52,0.0,0.73,-0.05,-0.55,-0.18,-0.18
269,TAR,7.0,24.5,24.2,23.8,25.0,24.41,0.41,"562,570.14","108,070.52",0.0,-1.02,-1.08,-0.41,0.33,0.07,-0.18,-0.18
270,DCM,7.0,30.05,29.65,29.3,30.65,29.86,0.43,"3,589,842.86","876,890.71",0.0,-1.64,-0.39,0.3,0.03,-0.08,-0.19,-0.19
271,ROS,7.0,3.08,3.04,3.04,3.09,3.07,0.02,"3,496,142.86","820,451.50",0.0,0.0,-0.54,-0.25,-0.26,-0.27,-0.19,-0.19
272,BCG,7.0,15.1,14.9,14.85,15.25,15.05,0.15,"3,840,142.86","452,607.26",0.0,-0.17,-0.77,0.08,-0.4,-0.22,-0.19,-0.19
273,IDJ,7.0,14.1,13.9,13.4,14.3,13.9,0.31,"1,522,700.29","698,912.56",0.0,-0.36,-0.94,0.92,0.44,-0.12,-0.2,-0.2
274,SHB,7.0,14.55,14.35,14.35,14.8,14.56,0.15,"13,255,742.86","2,799,566.13",0.0,-1.03,-1.02,-0.35,-0.07,-0.34,-0.2,-0.2
275,TTF,7.0,8.51,8.39,8.39,8.75,8.58,0.13,"1,928,428.57","531,187.72",0.0,-0.71,-1.39,-0.7,-0.77,-0.26,-0.2,-0.2
276,LSS,7.0,10.3,10.15,10.15,10.45,10.31,0.11,"355,971.43","282,378.99",0.0,-0.25,-0.81,-0.37,-0.58,-0.4,-0.21,-0.21
277,MSR,7.0,19.8,19.5,19.4,19.8,19.59,0.13,"335,225.57","225,615.56",0.0,-0.26,-0.17,0.13,-0.2,0.0,-0.22,-0.22
278,LAS,7.0,13.2,13.0,12.8,13.2,12.99,0.13,"450,295.43","159,603.60",0.0,0.78,-0.26,0.19,0.0,0.13,-0.22,-0.22
279,SBT,7.0,18.5,18.2,17.9,18.5,18.26,0.2,"1,850,400.00","968,147.99",0.0,0.14,-0.36,0.42,-0.16,-0.14,-0.23,-0.23
280,NHA,7.0,21.55,21.2,21.2,21.9,21.57,0.3,"181,200.00","70,520.09",0.0,-1.61,-0.85,-0.35,0.0,-0.54,-0.23,-0.23
281,CTS,7.0,17.95,17.65,17.3,18.45,17.83,0.37,"690,671.43","274,967.61",0.0,-1.25,-1.47,0.5,0.0,-0.05,-0.24,-0.24
282,CSV,7.0,44.75,44.0,43.0,46.7,44.64,1.35,"561,300.00","184,387.42",0.0,-2.09,-1.97,-0.48,0.34,0.38,-0.24,-0.24
283,HPX,7.0,26.45,26.0,26.0,26.45,26.14,0.15,"346,685.71","49,905.76",0.0,0.0,-0.19,-0.14,-0.08,-0.06,-0.24,-0.24
284,BMI,7.0,28.8,28.3,28.25,28.8,28.59,0.23,"188,857.14","57,608.16",0.0,0.09,-0.35,-0.35,-0.35,-0.23,-0.25,-0.25
285,BID,7.0,36.15,35.5,35.5,36.5,35.93,0.42,"1,417,300.00","241,426.48",0.0,-1.38,-0.83,-0.11,0.0,-0.14,-0.26,-0.26
286,AGR,7.0,10.9,10.7,10.65,10.9,10.82,0.1,"913,628.57","309,405.99",0.0,-0.69,-0.62,0.12,-0.37,-0.23,-0.26,-0.26
287,VND,7.0,19.3,18.95,18.75,19.3,19.04,0.19,"21,557,528.57","5,252,651.54",0.0,-0.52,-0.44,0.27,-0.05,0.04,-0.26,-0.26
288,PSH,7.0,11.2,11.0,11.0,12.1,11.44,0.41,"848,228.57","664,012.04",0.0,-1.55,-3.13,-2.05,-0.36,-0.45,-0.26,-0.26
289,IDI,7.0,19.5,19.15,19.1,20.5,19.56,0.48,"2,380,185.71","464,222.38",0.0,-1.53,-2.25,-0.64,-0.16,0.04,-0.26,-0.26
290,QNS,7.0,45.0,44.2,44.0,45.0,44.3,0.34,"106,210.29","73,068.52",0.0,0.11,0.08,0.11,-0.09,-0.04,-0.26,-0.26
291,FIR,7.0,43.0,42.2,40.8,43.0,42.07,0.72,"237,728.57","18,910.55",0.0,0.0,0.48,0.85,0.1,-0.2,-0.27,-0.27
292,BWE,7.0,48.9,48.0,47.9,48.9,48.39,0.41,"155,771.43","78,539.62",0.0,-0.21,-0.48,-0.1,0.04,-0.28,-0.27,-0.27
293,SHI,7.0,15.4,15.1,15.1,15.4,15.29,0.11,"320,014.29","46,537.20",0.0,-0.17,-0.55,-0.33,-0.33,-0.27,-0.28,-0.28
294,FTS,7.0,30.43,29.77,29.61,31.68,30.2,0.77,"1,162,542.86","758,000.82",0.0,-1.41,-2.05,0.13,0.08,0.09,-0.31,-0.31
295,ITQ,7.0,4.6,4.5,4.5,4.8,4.61,0.09,"146,616.29","84,814.76",0.0,-1.09,-2.13,-0.55,-0.44,-0.37,-0.31,-0.31
296,SMC,7.0,18.7,18.3,18.3,19.1,18.69,0.25,"155,285.71","81,833.80",0.0,-0.54,-0.72,-0.47,-0.59,-0.71,-0.31,-0.31
297,VCI,7.0,38.85,38.0,38.0,39.6,38.54,0.61,"4,726,885.71","1,449,863.53",0.0,-1.1,-1.37,0.0,-0.24,0.0,-0.32,-0.32
298,VHM,7.0,60.1,58.7,58.7,60.1,59.31,0.6,"1,943,942.86","234,620.91",0.0,-0.17,-0.56,-0.04,-0.1,-0.36,-0.34,-0.34
299,C47,7.0,13.6,13.25,13.25,13.75,13.52,0.2,"175,728.57","74,051.37",0.0,0.0,-1.23,-0.74,-0.59,-0.31,-0.37,-0.37
300,TNI,7.0,4.25,4.14,4.13,4.25,4.18,0.05,"352,785.71","173,812.35",0.0,0.0,0.0,0.06,-0.43,-0.36,-0.37,-0.37
301,BFC,7.0,24.0,23.35,23.15,24.0,23.6,0.34,"224,071.43","58,731.76",0.0,-0.95,-0.07,0.22,-0.13,-0.46,-0.39,-0.39
302,BCA,7.0,7.4,7.2,7.2,7.9,7.5,0.29,"100,657.14","46,420.72",0.0,-0.69,-2.21,-1.98,-1.84,0.0,-0.39,-0.39
303,SSI,7.0,21.5,20.9,20.65,21.5,21.09,0.29,"19,159,671.43","2,854,397.09",0.0,-0.94,-0.63,0.3,0.0,-0.16,-0.4,-0.4
304,VDS,7.0,18.25,17.75,17.5,18.9,18.03,0.48,"533,242.86","151,633.79",0.0,0.71,-0.56,0.21,-0.44,-1.04,-0.4,-0.4
305,BVH,7.0,57.9,56.3,56.3,57.9,57.04,0.57,"1,029,114.29","383,093.75",0.0,-0.35,-0.7,-0.35,-0.35,-0.06,-0.4,-0.4
306,PTL,7.0,4.68,4.55,4.51,4.68,4.6,0.06,"132,814.29","73,810.17",0.0,-0.22,-0.36,-0.54,-0.43,0.15,-0.4,-0.4
307,TCI,7.0,9.6,9.3,9.2,9.7,9.44,0.18,"346,745.00","189,989.73",0.0,-1.06,-1.39,0.27,-0.42,0.0,-0.45,-0.45
308,FTM,7.0,3.0,2.9,2.8,3.2,3.01,0.15,"804,570.57","559,563.54",0.0,-1.68,-3.23,-2.43,0.7,-0.56,-0.48,-0.48
309,TLD,7.0,6.4,6.19,6.16,6.4,6.23,0.09,"141,714.29","46,922.18",0.0,-0.08,-0.05,0.12,0.1,-0.32,-0.48,-0.48
310,NDN,7.0,11.1,10.7,10.7,11.6,11.33,0.32,"514,677.57","343,069.68",0.0,-3.12,-2.66,-1.79,-1.43,-1.19,-0.52,-0.52
311,ORS,7.0,15.35,14.8,14.6,15.4,14.98,0.3,"1,851,242.86","975,116.70",0.0,-0.34,-1.32,0.34,0.0,-0.22,-0.52,-0.52
312,TVB,7.0,7.45,7.18,7.18,7.45,7.33,0.1,"430,257.14","112,854.17",0.0,-0.76,-0.91,-0.14,-0.49,-0.55,-0.53,-0.53
313,EVG,7.0,6.84,6.58,6.58,6.9,6.8,0.11,"131,714.29","73,033.06",0.0,-1.27,-1.43,-0.96,-0.95,-0.67,-0.55,-0.55
314,ART,7.0,5.1,4.9,4.9,5.1,5.01,0.09,"1,446,319.14","515,687.64",0.0,-1.01,-1.32,0.0,-0.4,-0.66,-0.57,-0.57
315,NBC,7.0,17.0,16.3,16.1,17.0,16.44,0.29,"381,587.14","237,706.07",0.0,0.0,0.41,-0.15,-0.12,-0.3,-0.6,-0.6
316,SBS,7.0,9.7,9.3,9.3,9.7,9.51,0.13,"2,139,666.86","590,837.11",0.0,-1.06,-1.05,-0.27,-0.63,-0.35,-0.6,-0.6
317,VIG,7.0,7.2,6.9,6.9,7.2,7.11,0.12,"440,604.86","312,307.50",0.0,-0.72,-1.41,-0.71,-0.85,-0.71,-0.61,-0.61
318,VIC,7.0,69.5,66.5,66.5,69.6,68.44,1.05,"995,942.86","384,657.06",0.0,-1.47,-0.84,-0.85,-0.45,-0.76,-0.63,-0.63
319,L14,7.0,107.0,102.0,102.0,111.1,106.74,2.73,"222,395.43","53,210.71",0.0,-2.46,-1.86,-0.84,-0.86,-1.41,-0.68,-0.68
320,TC6,7.0,10.0,9.5,9.4,10.0,9.59,0.21,"222,886.14","160,107.90",0.0,-0.52,0.35,0.26,0.0,-0.35,-0.73,-0.73
321,BVS,7.0,20.3,19.2,19.2,20.3,19.63,0.37,"208,336.29","109,038.01",0.0,-0.52,-0.85,-0.13,-0.51,-0.51,-0.79,-0.79
322,OGC,7.0,12.85,12.15,12.15,13.0,12.8,0.32,"453,914.29","233,034.21",0.0,-1.8,-2.23,-1.68,-1.34,-1.12,-0.8,-0.8
323,TVD,7.0,16.2,15.3,15.2,16.2,15.53,0.36,"236,775.71","110,948.34",0.0,-0.65,-0.43,0.16,0.13,-0.53,-0.81,-0.81
324,TDH,7.0,5.86,5.52,5.52,5.86,5.68,0.12,"114,200.00","51,914.55",0.0,-0.63,-0.54,-0.54,-0.81,-0.79,-0.85,-0.85
325,APG,7.0,7.2,6.78,6.78,7.2,7.0,0.16,"2,871,814.29","525,306.47",0.0,-0.87,-1.66,-0.26,-0.78,-0.77,-0.85,-0.85
326,CTD,7.0,62.1,58.0,58.0,62.1,59.77,1.35,"902,128.57","359,082.63",0.0,-0.68,-1.45,-0.8,-0.68,-0.28,-0.97,-0.97
327,APS,7.0,15.8,14.6,14.6,15.8,15.34,0.41,"1,593,753.71","467,116.59",0.0,-1.99,-2.18,-1.0,-0.93,-1.2,-1.12,-1.12
328,TDN,7.0,13.8,12.5,12.5,13.8,12.93,0.46,"110,910.57","59,089.10",0.0,0.0,-0.79,-0.4,-0.78,-0.9,-1.4,-1.4
329,CTF,7.0,25.15,22.4,22.4,27.8,25.46,1.82,"763,885.71","228,242.83",0.0,-3.49,-4.23,-4.02,-4.23,-3.01,-1.64,-1.64
330,LCM,7.0,3.06,2.69,2.66,3.06,2.83,0.13,"328,757.14","253,272.43",0.0,-1.98,-2.47,-1.35,0.22,-0.96,-1.82,-1.82
