,Symbol,Count Day,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day Full
16,SSN,7.0,6.6,7.4,6.1,7.7,6.9,0.55,"250,317.14","153,775.30",0.0,-1.97,0.92,4.95,2.01,1.93,1.65,1.65
17,BNA,7.0,17.1,19.1,17.1,19.1,18.24,0.74,"222,791.57","88,838.25",0.0,0.26,0.89,1.35,0.86,1.47,1.59,1.59
18,TNT,7.0,6.99,7.72,6.99,7.72,7.35,0.22,"234,957.14","179,852.28",0.0,3.4,1.88,1.13,0.85,0.64,1.43,1.43
19,VGS,7.0,15.59,17.2,15.59,17.2,16.39,0.7,"235,780.71","230,648.30",0.0,0.0,0.59,2.34,1.53,1.0,1.41,1.41
20,PXI,7.0,3.0,3.3,3.0,3.4,3.21,0.16,"176,444.29","95,111.02",0.0,-1.48,-0.99,0.77,1.26,1.05,1.37,1.37
21,MBG,7.0,7.1,7.8,7.1,7.8,7.39,0.28,"574,764.14","247,271.70",0.0,1.31,0.87,2.02,1.33,1.58,1.35,1.35
22,SJF,7.0,6.12,6.7,6.12,6.86,6.49,0.28,"939,885.71","423,494.36",0.0,-0.22,-0.78,1.07,1.53,0.77,1.3,1.3
23,CRE,7.0,23.6,25.8,23.6,26.0,25.4,0.84,"227,485.71","123,463.16",0.0,-0.39,-0.19,0.29,0.08,0.36,1.28,1.28
24,DL1,7.0,5.4,5.9,5.4,6.0,5.83,0.24,"512,806.86","229,118.34",0.0,0.0,-0.56,-0.42,-0.34,0.87,1.27,1.27
25,GAS,7.0,98.8,107.8,97.5,107.8,101.51,3.83,"794,514.29","207,314.87",0.0,1.76,1.53,1.42,2.03,1.69,1.25,1.25
26,VSH,7.0,39.0,42.55,39.0,44.8,42.6,1.88,"166,414.29","68,624.47",0.0,-1.1,-1.7,-0.81,-0.07,0.34,1.25,1.25
27,VTP,7.0,54.9,59.9,54.7,59.9,56.63,2.08,"366,661.86","109,426.64",0.0,0.59,2.03,2.3,1.54,1.19,1.25,1.25
28,VC7,7.0,10.0,10.9,10.0,11.6,10.93,0.56,"238,129.00","120,490.52",0.0,-2.22,-2.05,-0.45,-0.36,0.79,1.24,1.24
29,DAH,7.0,7.27,7.91,7.16,7.91,7.36,0.25,"353,828.57","245,784.49",0.0,3.39,2.95,2.52,1.76,1.46,1.21,1.21
30,DLG,7.0,4.01,4.35,4.01,4.38,4.23,0.17,"2,794,414.29","1,892,211.72",0.0,0.12,-0.23,-0.06,1.29,1.16,1.17,1.17
