,Symbol,Count Day,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Day 1,Day 2,Day 3,Day 4,Day Full
197,SHB,4.0,20.95,21.05,20.95,21.05,21.01,0.05,"9,477,250.00","3,274,035.59",0.0,0.0,0.08,0.12,0.12
198,HVH,4.0,11.15,11.2,10.85,11.2,11.03,0.18,"367,225.00","295,957.55",0.0,1.37,1.06,0.11,0.11
199,DIG,4.0,87.6,88.0,87.6,91.0,88.68,1.56,"5,686,725.00","2,879,868.02",0.0,-1.66,-0.04,0.11,0.11
200,TCO,4.0,22.0,22.1,22.0,23.3,22.59,0.64,"965,250.00","379,637.28",0.0,-1.87,-1.75,0.11,0.11
201,C4G,4.0,22.7,22.8,22.6,22.8,22.7,0.08,"4,809,607.00","2,095,920.55",0.0,0.22,0.29,0.11,0.11
202,OCB,4.0,25.9,26.0,25.75,26.0,25.88,0.1,"1,773,950.00","726,216.33",0.0,0.29,0.32,0.1,0.1
203,QBS,4.0,7.44,7.47,7.32,7.47,7.4,0.07,"2,286,500.00","702,576.24",0.0,0.81,0.68,0.1,0.1
204,LAS,4.0,23.9,24.0,23.7,24.7,24.08,0.43,"2,864,678.75","669,437.00",0.0,0.63,-0.95,0.1,0.1
205,AAT,4.0,14.5,14.55,14.5,14.6,14.55,0.04,"901,925.00","128,092.84",0.0,0.0,-0.11,0.09,0.09
206,HAP,4.0,13.3,13.35,13.3,13.4,13.35,0.04,"646,825.00","230,889.27",0.0,0.0,-0.12,0.09,0.09
207,HCD,4.0,13.7,13.75,13.5,13.75,13.62,0.12,"866,025.00","231,680.49",0.0,0.92,0.49,0.09,0.09
208,ACB,4.0,32.6,32.7,32.6,32.9,32.73,0.13,"4,077,125.00","2,256,692.88",0.0,-0.3,0.0,0.08,0.08
209,SGP,4.0,37.5,37.6,37.5,39.5,38.27,0.93,"556,159.50","288,369.60",0.0,-1.18,-1.63,0.07,0.07
210,DDG,4.0,35.9,36.0,35.8,36.1,35.95,0.13,"277,470.75","220,004.64",0.0,-0.14,0.19,0.07,0.07
211,DGW,4.0,118.7,119.0,118.0,120.4,119.02,1.01,"538,025.00","152,238.40",0.0,-0.58,0.28,0.06,0.06
212,HHV,4.0,23.25,23.3,23.15,23.3,23.23,0.06,"3,941,750.00","1,001,474.35",0.0,0.22,0.22,0.05,0.05
213,BMI,4.0,39.85,39.9,39.85,40.65,40.17,0.38,"709,375.00","248,098.25",0.0,-0.93,-0.33,0.03,0.03
214,FUESSVFL,4.0,21.98,22.0,21.95,22.0,21.98,0.02,"110,725.00","123,306.40",0.0,0.05,0.08,0.02,0.02
215,TNG,4.0,33.8,33.8,33.0,33.8,33.47,0.39,"3,822,886.00","1,153,200.01",0.0,0.75,0.8,0.0,0.0
216,FCN,4.0,24.2,24.2,23.65,24.3,24.09,0.3,"3,585,375.00","1,065,962.20",0.0,-0.21,0.77,0.0,0.0
217,ABS,4.0,26.0,26.0,25.85,26.7,26.14,0.38,"1,730,575.00","535,156.66",0.0,0.29,-0.88,0.0,0.0
218,LMH,4.0,9.0,9.0,8.9,9.0,8.97,0.05,"972,507.75","634,887.74",0.0,0.0,0.37,0.0,0.0
219,VPG,4.0,61.2,61.2,61.2,61.5,61.33,0.15,"816,550.00","420,957.72",0.0,-0.16,-0.16,0.0,0.0
220,PVG,4.0,17.5,17.5,17.5,19.2,18.18,0.83,"1,515,217.00","509,366.02",0.0,-2.74,-3.04,0.0,0.0
221,SDD,4.0,8.1,8.1,8.0,8.5,8.18,0.22,"1,291,477.75","469,228.19",0.0,-2.38,0.41,0.0,0.0
222,SPI,4.0,11.0,11.0,10.9,11.0,10.97,0.05,"145,462.50","70,400.04",0.0,0.0,0.3,0.0,0.0
223,STH,4.0,10.7,10.7,10.6,10.8,10.7,0.08,"171,250.00","22,973.97",0.0,-0.46,0.31,0.0,0.0
224,SGB,4.0,18.2,18.2,18.2,18.2,18.2,0.0,"107,575.00","73,017.59",0.0,0.0,0.0,0.0,0.0
225,DGT,4.0,33.2,33.2,33.2,33.6,33.3,0.2,"150,225.00","28,289.26",0.0,-0.6,0.0,0.0,0.0
226,HHG,4.0,8.1,8.1,7.9,8.4,8.12,0.21,"1,086,592.25","169,503.82",0.0,-1.8,0.84,0.0,0.0
227,VAB,4.0,14.3,14.3,14.3,14.4,14.32,0.05,"404,128.75","123,843.69",0.0,-0.35,0.0,0.0,0.0
228,FIR,4.0,50.8,50.8,50.5,50.8,50.72,0.15,"280,125.00","18,762.44",0.0,0.3,0.0,0.0,0.0
229,KMR,4.0,8.64,8.64,8.39,8.82,8.62,0.18,"353,650.00","44,664.49",0.0,-1.03,0.98,0.0,0.0
230,LHG,4.0,50.6,50.6,50.6,51.3,50.77,0.35,"323,875.00","137,772.19",0.0,-0.68,0.0,0.0,0.0
231,PPC,4.0,22.1,22.1,22.1,22.15,22.12,0.03,"167,575.00","68,458.86",0.0,-0.11,-0.08,0.0,0.0
232,IBC,4.0,20.0,20.0,20.0,20.0,20.0,0.0,"376,625.00","399,226.76",0.0,0.0,0.0,0.0,0.0
233,HSL,4.0,10.15,10.15,10.15,10.35,10.25,0.12,"229,050.00","28,529.46",0.0,-0.97,-0.65,0.0,0.0
234,THD,4.0,171.2,171.1,171.1,172.1,171.48,0.45,"412,825.50","26,478.14",0.0,-0.29,-0.08,-0.01,-0.01
235,SSH,4.0,100.5,100.4,100.4,103.4,101.47,1.39,"443,482.25","70,855.69",0.0,-1.46,-0.4,-0.02,-0.02
236,GEG,4.0,28.05,28.0,27.95,28.4,28.1,0.2,"2,883,700.00","1,777,654.72",0.0,0.09,-0.47,-0.04,-0.04
237,CEO,4.0,64.5,64.4,64.4,66.6,65.15,1.01,"5,580,942.75","2,506,688.06",0.0,-1.67,-0.36,-0.04,-0.04
238,HDB,4.0,27.35,27.3,26.95,27.35,27.15,0.2,"4,019,050.00","792,482.82",0.0,0.65,0.37,-0.05,-0.05
239,TCB,4.0,49.0,48.9,48.9,49.25,49.06,0.15,"6,633,475.00","1,802,334.10",0.0,-0.36,-0.14,-0.05,-0.05
240,IJC,4.0,29.1,29.0,29.0,29.1,29.02,0.05,"2,012,025.00","581,136.85",0.0,0.0,0.0,-0.09,-0.09
241,CLX,4.0,27.0,26.9,26.9,27.0,26.95,0.06,"175,225.75","12,166.96",0.0,0.0,-0.12,-0.09,-0.09
242,TPB,4.0,38.8,38.65,38.65,39.0,38.81,0.14,"3,074,750.00","1,370,309.39",0.0,-0.45,-0.13,-0.1,-0.1
243,REE,4.0,72.5,72.2,71.1,72.5,71.88,0.61,"818,050.00","274,577.51",0.0,0.35,0.51,-0.1,-0.1
244,DLG,4.0,7.53,7.5,7.41,7.53,7.48,0.05,"6,263,750.00","1,850,675.31",0.0,0.2,0.4,-0.1,-0.1
245,KBC,4.0,52.0,51.8,51.8,53.0,52.38,0.57,"8,069,750.00","5,572,045.92",0.0,-0.86,-0.76,-0.1,-0.1
246,HHP,4.0,12.7,12.65,12.65,12.9,12.79,0.13,"332,650.00","136,223.77",0.0,-0.97,-0.65,-0.1,-0.1
247,DRC,4.0,33.6,33.45,33.45,34.2,33.71,0.33,"1,527,200.00","817,747.02",0.0,-0.22,-0.74,-0.11,-0.11
248,TVB,4.0,22.1,22.0,21.55,22.55,22.05,0.41,"1,047,075.00","351,289.10",0.0,-1.23,0.69,-0.11,-0.11
249,FUEVFVND,4.0,28.15,28.0,28.0,28.45,28.25,0.21,"1,174,325.00","1,204,898.35",0.0,-0.79,-0.47,-0.13,-0.13
250,NAB,4.0,19.7,19.6,19.6,19.8,19.7,0.08,"209,177.00","53,671.18",0.0,-0.51,-0.17,-0.13,-0.13
251,SSB,4.0,37.7,37.5,37.5,37.7,37.55,0.1,"1,897,900.00","171,806.46",0.0,0.0,0.0,-0.13,-0.13
252,PVP,4.0,19.7,19.6,19.6,20.8,20.05,0.54,"1,308,842.75","872,331.79",0.0,-1.25,-1.96,-0.13,-0.13
253,IPA,4.0,52.8,52.5,52.5,54.0,52.95,0.71,"713,705.50","272,373.91",0.0,-1.4,0.0,-0.14,-0.14
254,VNE,4.0,18.4,18.3,18.2,18.85,18.44,0.29,"1,352,900.00","353,258.61",0.0,-1.47,0.18,-0.14,-0.14
255,MST,4.0,16.8,16.7,16.7,16.9,16.82,0.1,"289,074.00","84,186.68",0.0,-0.59,-0.4,-0.15,-0.15
256,NSH,4.0,17.1,17.0,16.9,17.6,17.15,0.31,"701,754.25","269,727.75",0.0,-1.72,0.2,-0.15,-0.15
257,HPX,4.0,30.8,30.6,30.6,30.85,30.74,0.11,"481,275.00","174,473.67",0.0,-0.41,-0.11,-0.16,-0.16
258,EIN,4.0,14.2,14.1,14.1,14.6,14.27,0.22,"103,934.50","37,567.80",0.0,-0.35,-1.15,-0.18,-0.18
259,NLG,4.0,53.5,53.1,53.1,54.2,53.62,0.46,"4,804,825.00","1,809,579.42",0.0,-1.02,-0.37,-0.19,-0.19
260,HBS,4.0,12.8,12.7,12.6,12.8,12.73,0.1,"131,620.00","59,426.81",0.0,-0.39,0.26,-0.2,-0.2
261,MHC,4.0,12.5,12.4,12.4,12.75,12.59,0.17,"852,225.00","345,093.44",0.0,-1.19,-0.92,-0.2,-0.2
262,VPI,4.0,63.4,62.9,62.9,63.8,63.43,0.39,"1,336,475.00","178,828.92",0.0,-0.55,-0.47,-0.2,-0.2
263,NHA,4.0,62.0,61.5,61.5,63.3,62.15,0.79,"239,225.00","32,937.05",0.0,-1.43,-0.16,-0.2,-0.2
264,HNG,4.0,10.0,9.92,9.9,10.0,9.94,0.04,"13,251,925.00","4,191,068.71",0.0,0.0,0.07,-0.2,-0.2
265,DCL,4.0,36.45,36.15,36.15,38.0,37.03,0.87,"107,825.00","69,126.81",0.0,-1.82,-1.65,-0.21,-0.21
266,ONE,4.0,12.1,12.0,12.0,13.0,12.35,0.45,"396,578.50","111,660.62",0.0,-3.92,-0.82,-0.21,-0.21
267,MWG,4.0,134.2,133.0,133.0,134.2,133.62,0.51,"1,170,450.00","587,045.15",0.0,-0.19,-0.2,-0.22,-0.22
268,KPF,4.0,17.1,16.95,16.9,17.1,17.01,0.1,"339,250.00","58,934.91",0.0,-0.44,0.1,-0.22,-0.22
269,EVE,4.0,16.95,16.8,16.8,17.0,16.9,0.09,"113,625.00","32,821.17",0.0,-0.59,-0.1,-0.22,-0.22
270,LGL,4.0,11.0,10.9,10.9,11.15,10.99,0.12,"367,975.00","75,894.68",0.0,-1.13,0.0,-0.23,-0.23
271,TLD,4.0,11.05,10.95,10.9,11.05,10.96,0.06,"546,275.00","68,720.66",0.0,0.0,0.15,-0.23,-0.23
272,VCI,4.0,62.6,62.0,62.0,63.4,62.77,0.61,"3,662,525.00","1,193,114.10",0.0,-0.88,-0.74,-0.24,-0.24
273,DRG,4.0,20.2,20.0,19.6,21.0,20.2,0.59,"105,087.25","63,218.55",0.0,1.02,-1.61,-0.25,-0.25
274,G36,4.0,19.8,19.6,19.4,19.8,19.65,0.19,"1,663,689.25","604,859.00",0.0,-0.51,0.34,-0.25,-0.25
275,VNB,4.0,19.6,19.4,19.3,19.7,19.5,0.18,"212,870.25","80,798.92",0.0,-0.76,0.17,-0.26,-0.26
276,KDM,4.0,9.6,9.5,9.3,9.6,9.43,0.15,"248,517.50","206,710.42",0.0,1.07,0.71,-0.26,-0.26
277,SAB,4.0,155.6,154.0,154.0,157.0,155.4,1.25,"138,075.00","33,692.47",0.0,-0.96,-0.22,-0.26,-0.26
278,PHP,4.0,28.0,27.7,27.7,29.1,28.25,0.6,"206,671.50","84,986.75",0.0,-0.89,-1.63,-0.27,-0.27
279,E1VFVN30,4.0,25.3,24.99,24.99,25.3,25.11,0.15,"1,958,275.00","1,382,388.25",0.0,-0.32,-0.01,-0.31,-0.31
280,VC3,4.0,53.6,52.9,52.9,54.3,53.45,0.65,"194,784.75","153,136.97",0.0,-1.3,-0.06,-0.33,-0.33
281,GKM,4.0,51.7,51.0,50.0,51.7,50.85,0.7,"329,713.50","98,571.27",0.0,0.3,0.66,-0.34,-0.34
282,IVS,4.0,14.9,14.7,14.7,15.0,14.85,0.13,"126,902.25","60,853.91",0.0,-1.01,-0.23,-0.34,-0.34
283,VCG,4.0,43.7,43.1,43.1,43.7,43.3,0.27,"3,892,850.00","1,024,159.68",0.0,-0.17,-0.04,-0.35,-0.35
284,TTZ,4.0,7.1,7.0,6.9,7.1,7.0,0.08,"210,844.75","150,714.90",0.0,0.0,0.48,-0.35,-0.35
285,VOC,4.0,28.1,27.7,27.7,28.1,27.95,0.19,"148,833.50","44,944.17",0.0,-0.36,-0.48,-0.36,-0.36
286,PNJ,4.0,106.0,104.5,104.5,110.5,107.33,2.63,"1,520,000.00","528,637.46",0.0,-1.77,-1.84,-0.36,-0.36
287,HAR,4.0,10.4,10.25,10.25,10.4,10.29,0.08,"2,045,750.00","399,783.58",0.0,0.0,0.0,-0.36,-0.36
288,CRE,4.0,37.0,36.45,36.1,37.0,36.44,0.4,"883,250.00","255,539.78",0.0,0.34,0.32,-0.37,-0.37
289,KLF,4.0,6.6,6.5,6.5,6.6,6.53,0.05,"6,019,765.75","1,186,508.80",0.0,0.0,0.0,-0.38,-0.38
290,TNA,4.0,16.6,16.35,16.35,16.8,16.55,0.2,"317,000.00","104,575.49",0.0,-1.35,-0.2,-0.38,-0.38
291,TIS,4.0,13.1,12.9,12.9,13.2,13.1,0.14,"472,685.25","155,701.32",0.0,-1.14,-0.76,-0.38,-0.38
292,ORS,4.0,26.0,25.6,25.6,26.0,25.88,0.19,"1,108,975.00","462,254.94",0.0,-0.77,-0.39,-0.39,-0.39
293,VGS,4.0,38.5,37.9,37.9,39.7,38.85,0.81,"447,906.00","160,417.89",0.0,-2.29,-1.2,-0.39,-0.39
294,LCG,4.0,19.5,19.2,19.2,19.5,19.29,0.14,"5,083,175.00","1,380,433.47",0.0,-0.13,0.0,-0.39,-0.39
295,TDP,4.0,26.0,25.6,25.6,26.0,25.74,0.18,"112,400.00","29,863.80",0.0,-0.1,-0.13,-0.39,-0.39
296,S99,4.0,19.3,19.0,19.0,19.3,19.15,0.17,"425,295.50","99,833.03",0.0,-0.78,0.0,-0.39,-0.39
297,ROS,4.0,8.38,8.25,8.25,8.38,8.31,0.05,"12,280,000.00","1,865,269.04",0.0,-0.3,-0.24,-0.39,-0.39
298,VGT,4.0,25.6,25.2,25.2,25.6,25.4,0.16,"3,917,257.50","1,524,896.74",0.0,-0.39,-0.26,-0.39,-0.39
299,PVD,4.0,37.7,37.1,37.1,39.95,38.39,1.26,"15,319,125.00","4,030,452.94",0.0,-2.22,-2.44,-0.4,-0.4
300,VPB,4.0,37.0,36.4,36.4,37.0,36.75,0.25,"12,962,250.00","2,580,796.81",0.0,-0.48,-0.41,-0.41,-0.41
301,ICT,4.0,21.4,21.05,21.0,21.4,21.14,0.18,"284,025.00","203,448.49",0.0,-0.12,0.08,-0.41,-0.41
302,D2D,4.0,61.0,60.0,60.0,61.0,60.55,0.48,"159,575.00","76,996.64",0.0,-0.74,-0.17,-0.41,-0.41
303,BMC,4.0,30.5,30.0,30.0,31.5,30.77,0.66,"331,975.00","142,288.05",0.0,-2.41,-1.19,-0.41,-0.41
304,QNS,4.0,48.6,47.8,47.4,48.6,47.95,0.5,"642,738.50","246,058.00",0.0,0.42,-0.14,-0.41,-0.41
305,POM,4.0,15.0,14.75,14.75,15.35,15.05,0.25,"547,400.00","179,746.25",0.0,-1.17,-1.32,-0.42,-0.42
306,PSW,4.0,24.2,23.8,23.8,25.8,24.6,0.86,"410,875.25","141,277.55",0.0,-1.64,-2.65,-0.42,-0.42
307,FPT,4.0,94.8,93.2,93.2,95.5,94.53,0.96,"1,587,300.00","740,491.23",0.0,-0.74,-0.81,-0.42,-0.42
308,TLH,4.0,20.55,20.2,20.2,20.95,20.6,0.31,"1,658,650.00","210,407.37",0.0,-1.22,-1.21,-0.43,-0.43
309,PHC,4.0,14.4,14.15,14.15,14.45,14.3,0.15,"490,125.00","134,497.99",0.0,-1.04,-0.12,-0.44,-0.44
310,VIX,4.0,22.8,22.4,22.4,22.9,22.74,0.23,"3,697,700.00","1,138,373.40",0.0,-1.1,-0.66,-0.44,-0.44
311,HMC,4.0,28.0,27.5,27.5,28.0,27.76,0.21,"119,425.00","18,971.45",0.0,-0.45,-0.36,-0.45,-0.45
312,PVM,4.0,21.8,21.4,21.4,22.4,21.85,0.41,"182,750.00","151,304.56",0.0,-0.92,-1.51,-0.46,-0.46
313,ABB,4.0,16.3,16.0,16.0,16.3,16.2,0.14,"1,450,748.00","485,993.29",0.0,-0.92,-0.41,-0.46,-0.46
314,HSG,4.0,40.4,39.65,39.65,41.45,40.61,0.77,"13,786,550.00","1,858,091.35",0.0,-1.6,-1.47,-0.47,-0.47
315,CCL,4.0,16.2,15.9,15.9,16.4,16.19,0.21,"720,900.00","209,318.72",0.0,-1.54,-0.72,-0.47,-0.47
316,CRC,4.0,10.7,10.5,10.5,10.7,10.56,0.09,"239,075.00","74,098.37",0.0,-0.24,0.0,-0.47,-0.47
317,AFX,4.0,15.9,15.6,15.6,15.9,15.72,0.15,"163,850.00","42,452.05",0.0,0.0,-0.42,-0.48,-0.48
318,HD6,4.0,42.2,41.4,40.9,42.2,41.58,0.56,"171,614.75","111,578.64",0.0,-0.48,0.41,-0.48,-0.48
319,LSS,4.0,15.5,15.2,15.2,15.6,15.46,0.18,"1,546,950.00","800,106.87",0.0,-1.13,-0.86,-0.49,-0.49
320,NT2,4.0,23.0,22.55,22.55,23.0,22.81,0.19,"681,075.00","293,350.76",0.0,-0.55,-0.51,-0.49,-0.49
321,VRE,4.0,32.5,31.85,31.6,32.5,31.99,0.38,"7,287,150.00","4,664,434.15",0.0,-0.23,0.26,-0.5,-0.5
322,BVB,4.0,19.8,19.4,19.4,19.8,19.6,0.23,"2,232,659.75","1,218,848.57",0.0,-1.02,0.0,-0.51,-0.51
323,LDG,4.0,19.7,19.3,19.3,19.9,19.65,0.25,"8,172,150.00","3,983,460.08",0.0,-1.52,-0.68,-0.51,-0.51
324,VIB,4.0,44.6,43.7,43.7,44.6,44.3,0.41,"1,611,925.00","589,438.25",0.0,-0.79,-0.6,-0.51,-0.51
325,NAF,4.0,22.25,21.8,21.8,22.3,22.09,0.23,"240,250.00","34,260.23",0.0,-1.13,-0.3,-0.51,-0.51
326,HBC,4.0,26.7,26.15,26.0,26.7,26.21,0.33,"5,304,850.00","799,016.17",0.0,0.29,0.19,-0.52,-0.52
327,VIG,4.0,14.2,13.9,13.9,14.2,14.05,0.13,"779,716.00","253,781.88",0.0,-0.71,-0.24,-0.53,-0.53
328,DDV,4.0,33.5,32.8,32.3,33.5,33.02,0.59,"4,932,668.50","1,612,640.02",0.0,0.77,-0.7,-0.53,-0.53
329,TVS,4.0,47.9,46.9,46.9,48.0,47.52,0.52,"178,150.00","64,183.20",0.0,-1.15,-0.28,-0.53,-0.53
330,KDH,4.0,52.1,51.0,51.0,52.1,51.45,0.48,"1,283,700.00","464,959.96",0.0,-0.49,-0.13,-0.53,-0.53
331,GSP,4.0,16.5,16.15,16.15,17.05,16.54,0.38,"779,700.00","172,184.15",0.0,-0.92,-1.79,-0.53,-0.53
332,ITC,4.0,18.5,18.1,18.1,18.5,18.32,0.21,"570,175.00","94,002.99",0.0,-1.09,-0.18,-0.54,-0.54
333,PXS,4.0,13.7,13.4,13.4,14.65,13.99,0.55,"1,745,225.00","393,510.85",0.0,-2.86,-2.93,-0.55,-0.55
334,DVG,4.0,13.8,13.5,13.5,14.0,13.8,0.22,"1,318,694.00","455,114.21",0.0,-1.8,-0.97,-0.55,-0.55
335,OGC,4.0,13.8,13.5,13.2,13.8,13.51,0.25,"4,474,800.00","1,916,686.12",0.0,-0.18,0.75,-0.55,-0.55
336,CTF,4.0,22.5,22.0,22.0,22.5,22.12,0.25,"541,850.00","17,824.05",0.0,0.0,0.0,-0.56,-0.56
337,HHS,4.0,11.3,11.05,11.05,11.3,11.19,0.1,"7,383,900.00","3,560,319.20",0.0,-0.67,-0.45,-0.56,-0.56
338,HQC,4.0,7.7,7.53,7.53,7.7,7.59,0.08,"10,499,400.00","2,250,324.74",0.0,-0.46,-0.09,-0.56,-0.56
339,PSI,4.0,17.7,17.3,17.3,18.5,17.88,0.51,"704,863.00","147,342.09",0.0,-3.3,-1.31,-0.57,-0.57
340,NTL,4.0,37.35,36.5,36.5,37.7,37.26,0.53,"630,850.00","155,339.47",0.0,-1.6,-0.9,-0.57,-0.57
341,PVL,4.0,13.1,12.8,12.6,13.1,12.85,0.21,"1,325,599.50","535,778.71",0.0,-0.39,0.53,-0.58,-0.58
342,LDP,4.0,48.1,47.0,46.0,48.1,47.02,0.86,"163,520.25","57,318.79",0.0,1.08,0.0,-0.58,-0.58
343,MVC,4.0,13.1,12.8,12.8,13.1,12.93,0.15,"144,108.25","83,991.69",0.0,0.0,-0.52,-0.58,-0.58
344,SAM,4.0,19.1,18.65,18.65,19.15,18.95,0.23,"1,526,900.00","557,150.16",0.0,-1.31,-0.44,-0.59,-0.59
345,TNH,4.0,51.0,49.8,49.8,52.9,51.52,1.4,"992,000.00","651,864.13",0.0,-2.51,-1.99,-0.59,-0.59
346,BVH,4.0,58.4,57.0,56.4,58.4,57.3,0.84,"948,800.00","566,187.44",0.0,-0.35,0.35,-0.6,-0.6
347,CEN,4.0,16.8,16.4,16.3,16.8,16.45,0.24,"513,823.50","59,751.63",0.0,0.31,0.2,-0.6,-0.6
348,VGI,4.0,33.8,33.0,33.0,34.2,33.67,0.5,"941,877.25","622,225.19",0.0,-1.77,-0.7,-0.6,-0.6
349,TVN,4.0,16.9,16.5,16.5,17.1,16.85,0.25,"1,246,337.75","290,515.56",0.0,-1.19,-1.18,-0.6,-0.6
350,NTP,4.0,61.6,60.1,60.1,61.6,61.17,0.72,"160,467.50","109,905.61",0.0,-1.14,-0.76,-0.61,-0.61
351,DRI,4.0,20.2,19.7,19.6,21.5,20.25,0.87,"2,645,856.25","1,219,083.75",0.0,0.25,-2.87,-0.62,-0.62
352,C47,4.0,20.5,20.0,20.0,20.5,20.29,0.22,"447,025.00","126,386.45",0.0,-0.99,-0.41,-0.62,-0.62
353,ADG,4.0,51.9,50.6,50.6,52.2,51.6,0.7,"198,975.00","37,033.08",0.0,-1.54,-0.71,-0.63,-0.63
354,L18,4.0,59.5,58.0,58.0,60.3,59.25,0.95,"131,033.25","45,234.56",0.0,-1.93,-0.68,-0.64,-0.64
355,DBC,4.0,74.9,73.0,73.0,74.9,73.65,0.86,"2,376,825.00","926,526.60",0.0,-0.14,-0.23,-0.64,-0.64
356,AGR,4.0,21.25,20.7,20.7,21.3,21.11,0.28,"1,128,525.00","413,131.55",0.0,-1.42,-0.79,-0.65,-0.65
357,SFG,4.0,22.9,22.3,22.0,22.95,22.54,0.46,"179,900.00","91,665.66",0.0,0.68,-0.95,-0.66,-0.66
358,MBG,4.0,15.2,14.8,14.8,15.2,15.0,0.16,"2,383,920.00","336,932.83",0.0,-0.67,-0.45,-0.66,-0.66
359,GEX,4.0,39.0,37.95,37.95,40.0,39.11,0.88,"17,173,325.00","6,550,974.80",0.0,-1.98,-1.74,-0.68,-0.68
360,ART,4.0,11.1,10.8,10.8,11.1,11.0,0.14,"3,408,227.75","1,417,526.28",0.0,-1.36,-0.61,-0.68,-0.68
361,DTD,4.0,43.7,42.5,42.5,43.7,43.08,0.49,"198,258.50","48,512.08",0.0,-0.7,-0.39,-0.69,-0.69
362,NDN,4.0,17.99,17.5,17.5,17.99,17.84,0.23,"1,692,593.75","210,971.60",0.0,-1.12,-0.92,-0.69,-0.69
363,JVC,4.0,11.0,10.7,10.7,11.05,10.95,0.17,"6,055,300.00","2,885,298.89",0.0,-1.6,-1.07,-0.69,-0.69
364,SBS,4.0,14.7,14.3,14.3,14.7,14.5,0.18,"3,257,406.00","1,263,973.74",0.0,-1.03,-0.23,-0.69,-0.69
365,LIG,4.0,14.7,14.3,14.3,14.7,14.55,0.17,"1,231,564.50","402,174.34",0.0,-1.03,-0.69,-0.69,-0.69
366,PVB,4.0,25.3,24.6,24.6,27.8,26.25,1.54,"742,608.00","250,735.12",0.0,-5.07,-3.99,-0.7,-0.7
367,DHA,4.0,54.5,53.0,52.2,54.5,53.03,1.04,"116,175.00","39,289.22",0.0,0.57,0.51,-0.7,-0.7
368,EVG,4.0,14.4,14.0,14.0,14.4,14.22,0.17,"711,400.00","192,947.02",0.0,-0.71,-0.7,-0.7,-0.7
369,BSR,4.0,28.4,27.6,27.6,29.1,28.4,0.62,"14,428,213.75","519,398.57",0.0,-1.59,-1.75,-0.71,-0.71
370,SCG,4.0,88.9,86.4,86.0,88.9,87.3,1.34,"351,397.50","49,657.64",0.0,-0.86,0.15,-0.71,-0.71
371,MCG,4.0,9.5,9.23,9.23,9.5,9.37,0.12,"901,900.00","385,448.89",0.0,-1.12,-0.25,-0.72,-0.72
372,FIT,4.0,14.0,13.6,13.6,14.0,13.78,0.21,"4,790,575.00","1,481,033.88",0.0,-1.09,0.0,-0.72,-0.72
373,PVS,4.0,38.0,36.9,36.9,39.4,38.12,1.02,"17,039,847.25","3,510,200.80",0.0,-1.72,-2.16,-0.73,-0.73
374,OIL,4.0,20.9,20.3,20.3,21.9,21.02,0.66,"4,484,295.00","1,500,411.28",0.0,-1.68,-2.5,-0.73,-0.73
375,SZC,4.0,72.9,70.8,70.8,75.0,73.07,1.75,"1,723,400.00","614,485.69",0.0,-1.92,-1.9,-0.73,-0.73
376,AMS,4.0,13.7,13.3,13.3,13.7,13.52,0.17,"169,982.25","48,321.08",0.0,-0.74,-0.74,-0.74,-0.74
377,HAI,4.0,6.66,6.46,6.46,6.66,6.53,0.09,"4,551,750.00","1,290,453.94",0.0,-0.31,-0.26,-0.76,-0.76
378,DHM,4.0,13.1,12.7,12.7,13.1,12.85,0.19,"597,200.00","230,208.70",0.0,0.0,-0.52,-0.77,-0.77
379,HTN,4.0,45.3,43.9,43.9,45.3,44.76,0.6,"324,650.00","55,303.13",0.0,-1.23,-0.71,-0.78,-0.78
380,QCG,4.0,13.0,12.6,12.6,13.0,12.77,0.17,"726,075.00","208,160.25",0.0,-0.78,-0.26,-0.78,-0.78
381,VDS,4.0,38.7,37.5,37.5,39.4,38.7,0.85,"989,675.00","450,766.85",0.0,-2.19,-1.63,-0.78,-0.78
382,DHC,4.0,77.0,74.6,73.5,77.0,75.03,1.46,"217,850.00","50,205.08",0.0,0.75,-0.18,-0.79,-0.79
383,LCM,4.0,7.59,7.35,7.35,8.0,7.68,0.28,"609,375.00","351,944.74",0.0,-2.93,-2.79,-0.8,-0.8
384,TDM,4.0,38.0,36.8,36.8,38.0,37.36,0.49,"664,100.00","261,481.43",0.0,-0.74,-0.45,-0.8,-0.8
385,ILA,4.0,12.5,12.1,12.1,12.5,12.3,0.16,"251,439.75","129,996.86",0.0,-0.82,-0.54,-0.81,-0.81
386,FUEVN100,4.0,19.94,19.3,19.3,19.94,19.71,0.29,"212,500.00","54,779.13",0.0,-1.02,-1.0,-0.81,-0.81
387,BCM,4.0,74.8,72.4,71.5,74.8,73.03,1.42,"403,250.00","251,506.10",0.0,-0.68,0.42,-0.81,-0.81
388,TAR,4.0,40.2,38.9,38.9,40.2,39.5,0.65,"1,571,175.00","111,793.21",0.0,-0.13,-0.84,-0.82,-0.82
389,VPH,4.0,15.45,14.95,14.95,15.45,15.27,0.24,"638,975.00","203,991.43",0.0,-1.63,-0.66,-0.82,-0.82
390,NAG,4.0,15.3,14.8,14.8,15.3,15.12,0.24,"141,562.75","31,868.41",0.0,-1.0,-1.1,-0.83,-0.83
391,BMS,4.0,20.9,20.2,20.2,20.9,20.65,0.31,"150,604.50","54,968.02",0.0,-1.45,-0.81,-0.85,-0.85
