,Symbol,Count Day,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Day 1,Day 2,Day 3,Day 4,Day Full
37,BTS,4.0,13.5,14.6,13.0,14.6,13.6,0.7,"455,724.25","559,614.47",0.0,4.77,3.94,1.98,1.98
38,SDT,4.0,8.6,9.3,8.6,9.6,9.1,0.44,"401,663.50","320,192.41",0.0,-1.57,1.48,1.98,1.98
39,SD3,4.0,8.6,9.3,8.6,9.3,8.95,0.4,"221,926.00","117,714.27",0.0,0.0,2.64,1.98,1.98
40,FID,4.0,7.5,8.1,7.5,8.1,7.72,0.29,"1,081,073.25","669,233.94",0.0,1.9,2.6,1.94,1.94
41,HAH,4.0,87.0,93.9,87.0,94.0,91.97,3.35,"1,541,850.00","622,921.04",0.0,-0.05,0.32,1.93,1.93
42,VHC,4.0,74.0,79.8,74.0,79.8,76.95,3.18,"1,681,350.00","714,331.33",0.0,0.13,2.36,1.9,1.9
43,KHP,4.0,16.7,18.0,16.7,18.15,17.46,0.72,"1,134,575.00","819,197.29",0.0,-0.41,1.92,1.89,1.89
44,FMC,4.0,58.0,62.5,58.0,62.5,60.38,2.21,"269,000.00","55,839.47",0.0,0.4,1.94,1.89,1.89
45,TNT,4.0,18.05,19.45,18.05,19.5,19.07,0.69,"788,400.00","292,032.27",0.0,-0.13,0.26,1.89,1.89
46,PSH,4.0,27.15,29.25,27.15,29.3,28.69,1.03,"2,452,225.00","769,891.88",0.0,-0.09,0.23,1.88,1.88
47,TVC,4.0,22.1,23.8,22.1,23.9,23.08,0.91,"5,836,677.50","3,210,511.94",0.0,-0.21,1.89,1.87,1.87
48,ASM,4.0,17.2,18.5,17.2,18.5,17.84,0.59,"7,456,000.00","4,385,973.07",0.0,0.96,1.87,1.84,1.84
49,PTB,4.0,105.0,112.9,105.0,112.9,107.25,3.78,"405,775.00","413,896.25",0.0,3.4,2.29,1.83,1.83
50,DXS,4.0,37.15,39.95,37.15,39.95,38.71,1.45,"1,425,925.00","237,136.84",0.0,0.0,1.86,1.83,1.83
51,ACL,4.0,21.4,23.0,21.4,23.85,22.66,1.03,"337,600.00","95,613.53",0.0,-1.8,0.89,1.82,1.82
52,PIT,4.0,11.85,12.7,11.85,13.5,12.68,0.67,"239,600.00","199,415.76",0.0,-3.01,0.13,1.75,1.75
53,DPM,4.0,62.0,66.4,62.0,66.4,64.4,1.9,"9,083,725.00","1,951,708.68",0.0,1.94,0.56,1.73,1.73
54,GDT,4.0,53.4,57.2,53.0,57.2,54.27,1.96,"105,800.00","157,391.32",0.0,3.4,2.57,1.73,1.73
55,FCM,4.0,11.5,12.3,11.5,12.3,11.9,0.46,"2,449,950.00","474,832.49",0.0,0.0,2.27,1.7,1.7
56,VSC,4.0,44.6,47.7,44.6,47.7,46.82,1.5,"1,781,325.00","966,661.45",0.0,0.42,0.0,1.69,1.69
57,SD6,4.0,8.7,9.3,8.7,9.7,9.22,0.41,"710,542.00","319,614.02",0.0,-2.08,0.36,1.68,1.68
58,EIB,4.0,33.15,35.4,33.15,35.4,34.4,0.95,"468,375.00","204,733.36",0.0,1.59,0.62,1.66,1.66
59,BKG,4.0,11.15,11.9,11.0,11.9,11.31,0.4,"1,236,725.00","1,285,757.93",0.0,3.08,2.66,1.64,1.64
60,VND,4.0,30.46,32.5,29.85,32.5,31.16,1.22,"13,410,850.00","13,404,252.59",0.0,1.02,2.88,1.63,1.63
61,EVF,4.0,16.7,17.8,16.7,18.05,17.6,0.61,"1,541,475.00","1,137,623.82",0.0,-0.69,-0.09,1.61,1.61
62,MTG,4.0,10.7,11.4,10.7,12.5,11.7,0.81,"162,291.50","72,529.25",0.0,-3.33,-3.02,1.6,1.6
63,DQC,4.0,60.1,64.0,56.3,64.0,60.15,3.14,"620,425.00","117,079.84",0.0,3.11,4.37,1.58,1.58
64,SVD,4.0,12.4,13.2,12.4,14.15,13.25,0.72,"544,600.00","232,259.91",0.0,-3.42,-0.13,1.58,1.58
65,FRT,4.0,120.9,128.7,119.9,128.7,124.42,4.67,"1,362,825.00","613,268.75",0.0,0.19,2.39,1.58,1.58
66,HDC,4.0,94.9,101.0,94.9,101.6,98.12,3.67,"1,089,350.00","258,704.86",0.0,-0.3,2.06,1.57,1.57
67,TGG,4.0,26.6,28.3,26.6,30.4,28.44,1.55,"1,992,475.00","1,512,913.35",0.0,-3.52,-0.18,1.56,1.56
68,CVN,4.0,11.1,11.8,11.1,11.8,11.38,0.34,"1,015,402.75","254,788.02",0.0,1.3,2.06,1.54,1.54
69,ELC,4.0,24.6,26.1,24.4,26.1,25.16,0.8,"1,245,925.00","583,084.11",0.0,1.07,2.27,1.49,1.49
70,TEG,4.0,15.0,15.9,15.0,16.1,15.51,0.57,"570,800.00","378,920.74",0.0,-0.62,1.85,1.47,1.47
71,KSB,4.0,45.0,47.7,45.0,47.7,46.51,1.13,"2,918,250.00","1,053,891.12",0.0,0.9,0.85,1.47,1.47
72,HAG,4.0,11.7,12.4,11.7,12.4,12.05,0.3,"25,642,150.00","6,938,690.08",0.0,1.02,1.24,1.46,1.46
73,GMD,4.0,52.6,55.7,52.6,56.2,54.88,1.59,"4,766,150.00","1,314,292.55",0.0,0.63,-0.3,1.44,1.44
74,PPH,4.0,34.2,36.2,34.2,36.8,35.4,1.3,"132,210.00","134,861.08",0.0,-0.82,1.71,1.43,1.43
75,VIP,4.0,12.1,12.8,12.1,12.9,12.66,0.38,"1,823,700.00","259,300.65",0.0,-0.19,-0.26,1.42,1.42
76,VC2,4.0,55.9,59.1,55.9,59.1,57.5,1.79,"528,881.25","501,543.22",0.0,0.08,1.81,1.4,1.4
77,VTV,4.0,8.8,9.3,8.8,9.3,9.07,0.21,"295,350.00","177,762.47",0.0,1.09,0.73,1.39,1.39
78,BTN,4.0,7.2,7.6,7.0,7.8,7.4,0.37,"262,985.25","246,750.83",0.0,-1.29,2.78,1.36,1.36
79,SVN,4.0,7.3,7.7,7.3,7.7,7.45,0.19,"133,930.00","74,386.20",0.0,1.32,1.79,1.34,1.34
80,SCR,4.0,20.55,21.65,20.55,21.65,21.26,0.5,"9,103,050.00","3,505,456.93",0.0,0.23,0.54,1.31,1.31
81,VTD,4.0,24.5,25.8,24.0,25.8,24.98,0.87,"454,762.75","95,488.93",0.0,0.39,2.44,1.3,1.3
82,BSI,4.0,40.2,42.3,40.0,42.3,40.94,1.06,"1,215,925.00","461,349.26",0.0,1.26,1.88,1.28,1.28
83,MSR,4.0,30.7,32.3,30.7,33.5,32.5,1.33,"2,019,039.00","684,644.81",0.0,-1.81,-1.21,1.28,1.28
84,VNA,4.0,40.3,42.4,40.3,42.4,41.7,0.99,"622,311.75","284,286.01",0.0,0.84,0.0,1.28,1.28
85,KHB,4.0,7.9,8.3,7.9,8.5,8.18,0.28,"1,640,754.25","394,091.46",0.0,-1.18,1.23,1.24,1.24
86,TTA,4.0,15.35,16.1,15.35,16.1,15.56,0.36,"1,023,975.00","554,666.53",0.0,2.08,1.6,1.2,1.2
87,BCG,4.0,24.85,26.05,24.85,26.55,25.58,0.86,"11,902,600.00","5,611,100.17",0.0,-0.95,1.58,1.19,1.19
88,GIL,4.0,77.1,80.8,75.9,81.1,78.72,2.62,"703,200.00","301,263.15",0.0,-0.19,2.11,1.18,1.18
89,PC1,4.0,42.3,44.3,42.3,46.5,44.59,1.77,"5,962,825.00","1,153,018.61",0.0,-2.39,-0.7,1.16,1.16
90,DST,4.0,14.8,15.5,14.8,15.5,15.02,0.33,"1,058,982.75","359,906.79",0.0,1.65,1.55,1.16,1.16
91,DXP,4.0,22.4,23.4,22.4,23.8,23.32,0.64,"529,610.25","276,623.75",0.0,-0.63,-0.56,1.1,1.1
92,VOS,4.0,21.05,21.95,21.05,22.5,21.88,0.6,"5,293,200.00","3,304,058.68",0.0,-0.11,-0.82,1.05,1.05
93,TTH,4.0,7.3,7.6,7.2,7.6,7.4,0.18,"1,496,777.50","598,779.18",0.0,0.66,1.82,1.01,1.01
