,Symbol,Count Year,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Year 1,Year Full
0,CMS,1.0,6.2,17.9,5.1,34.7,12.92,7.98,"251,825.75","379,603.23",188.71,188.71
1,BSI,1.0,16.87,46.5,15.37,48.25,31.77,9.94,"1,193,732.53","714,264.01",175.6,175.6
2,ELC,1.0,7.21,19.6,7.21,21.25,13.19,4.18,"390,419.68","249,415.92",171.69,171.69
3,VIX,1.0,6.3,16.95,5.71,20.6,12.28,4.62,"23,432,814.06","13,865,200.71",168.88,168.88
4,ST8,1.0,8.93,23.0,8.93,29.8,19.55,3.76,"246,514.06","482,402.56",157.56,157.56
5,CTD,1.0,26.56,67.6,24.76,71.0,47.75,12.6,"967,010.44","789,780.47",154.55,154.55
6,FTS,1.0,17.58,43.95,15.62,47.3,31.71,9.46,"1,877,585.14","853,489.71",149.94,149.94
7,MHC,1.0,3.8,9.17,3.65,12.95,6.81,2.75,"418,857.83","606,020.22",141.32,141.32
8,VC7,1.0,5.57,13.3,5.57,28.71,13.76,6.13,"393,823.26","320,652.81",138.74,138.74
9,VTP,1.0,24.78,57.4,23.16,59.3,37.8,10.12,"811,184.26","451,490.90",131.61,131.61
10,VDS,1.0,7.3,16.9,7.2,19.1,13.09,3.6,"783,053.01","574,464.55",131.51,131.51
11,BMS,1.0,4.93,11.3,4.55,14.8,9.0,2.73,"206,796.23","153,213.95",129.4,129.4
12,QCG,1.0,4.2,9.51,3.8,15.15,8.38,3.3,"887,290.76","933,395.52",126.43,126.43
13,HSV,1.0,3.8,8.5,3.6,9.8,4.69,1.33,"139,311.00","390,942.08",123.68,123.68
14,YEG,1.0,4.9,10.75,4.9,12.05,7.84,1.83,"270,178.71","383,251.63",119.34,119.34
15,EVF,1.0,7.77,16.9,6.9,18.0,10.47,3.22,"2,130,390.76","3,199,825.93",117.39,117.39
16,HHS,1.0,3.34,7.25,3.34,7.95,5.4,1.33,"2,931,240.16","2,284,096.07",116.87,116.87
17,DTD,1.0,11.33,24.4,10.37,31.98,21.67,6.19,"742,561.99","443,215.28",115.4,115.4
18,AGR,1.0,7.71,16.6,7.08,19.56,13.08,3.34,"1,776,603.21","1,020,755.55",115.3,115.3
19,NAB,1.0,7.21,15.5,7.21,15.9,11.54,2.73,"362,232.94","327,666.38",114.92,114.92
20,APG,1.0,5.7,12.2,5.56,12.25,8.59,1.75,"1,379,349.00","930,575.22",114.04,114.04
21,SHS,1.0,9.1,18.4,8.0,20.5,13.99,3.81,"21,540,022.39","10,313,166.61",102.2,102.2
22,VPH,1.0,4.07,8.2,3.79,11.05,6.81,2.12,"352,738.55","316,068.56",101.47,101.47
