stockSymbol
0,AMV
1,ASM
2,BTP
3,C32
4,CST
5,DXP
6,EID
7,EVE
8,GIC
9,HCD
10,HII
11,HTI
12,ICT
13,NDN
14,NED
15,PHC
16,PJT
17,PVP
18,PVT
19,RTB
20,S55
21,SBV
22,SD5
23,SJE
24,SPM
25,SRA
26,THI
27,TRC
28,TVT
29,VID
30,XMC
