stockSymbol
AAT
BSC
ABR
AMD
CLX
AST
BTT
FRT
DGW
GCB
LMH
MWG
PET
PIV
PIT
HFX
LBC
SFC
PNG
PSD
T12
SID
CPH
ST8
HTC
KLF
CMV
COM
KTC
THS
TH1
VTJ
PIT
PNG
PSD
PET
TH1
TMC
THS
VTJ
TOP
TMC
TOP
PIV
SFC
SID
ST8
T12
